Instance : a280.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	2676	2909	2803.11
2	2639	2837	2728.41
3	2612	2744	2673.3
4	2591	2695	2636.72
5	2582	2648	2610.7
6	2579	2630	2593.95
7	2579	2607	2583.09
8	2579	2586	2579.51
9	2579	2581	2579.03
10	2579	2579	2579
trial...2
gene	min	max	ave
1	2687	2930	2811.21
2	2620	2829	2728
3	2610	2745	2666.03
4	2584	2694	2626.08
5	2581	2657	2602.14
6	2579	2622	2588.43
7	2579	2596	2581.61
8	2579	2583	2579.45
9	2579	2581	2579.06
10	2579	2579	2579
trial...3
gene	min	max	ave
1	2671	2928	2805.28
2	2635	2817	2721.97
3	2597	2762	2662.05
4	2588	2683	2622.92
5	2579	2632	2598.74
6	2579	2609	2585.71
7	2579	2590	2580.18
8	2579	2582	2579.05
9	2579	2579	2579
trial...4
gene	min	max	ave
1	2670	2947	2800.09
2	2630	2829	2722.09
3	2602	2751	2661.99
4	2588	2679	2623.24
5	2581	2625	2598.45
6	2579	2610	2585.52
7	2579	2593	2580.12
8	2579	2582	2579.2
9	2579	2579	2579
trial...5
gene	min	max	ave
1	2679	2945	2804.16
2	2625	2870	2723.89
3	2602	2749	2665.32
4	2582	2696	2627.59
5	2581	2654	2602.61
6	2579	2619	2587.59
7	2579	2604	2580.89
8	2579	2586	2579.14
9	2579	2579	2579
trial...6
gene	min	max	ave
1	2678	2906	2802.25
2	2623	2802	2720.13
3	2602	2765	2661.18
4	2589	2682	2622.48
5	2579	2640	2599.57
6	2579	2621	2586.41
7	2579	2590	2580.52
8	2579	2585	2579.17
9	2579	2579	2579
trial...7
gene	min	max	ave
1	2681	2921	2800.05
2	2622	2829	2720.74
3	2604	2759	2664.37
4	2589	2679	2625.41
5	2579	2639	2601.45
6	2579	2621	2587.09
7	2579	2596	2580.72
8	2579	2585	2579.22
9	2579	2581	2579.02
10	2579	2579	2579
trial...8
gene	min	max	ave
1	2679	2925	2811.35
2	2635	2844	2729.66
3	2610	2749	2668.65
4	2588	2698	2628.22
5	2581	2639	2604.11
6	2579	2623	2589.82
7	2579	2594	2581.95
