Instance : ali535.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	2062	2236	2140.2
2	2037	2148	2097.51
3	2030	2095	2065.51
4	2022	2067	2042.57
5	2007	2043	2026.02
6	2002	2032	2014.04
7	1995	2017	2005.07
8	1991	2008	1998.01
9	1987	2002	1992.52
10	1983	1993	1988.84
11	1982	1990	1986.32
12	1982	1988	1984.62
13	1982	1986	1983.53
14	1982	1985	1982.81
15	1982	1984	1982.29
16	1982	1983	1982.06
17	1982	1982	1982
trial...2
gene	min	max	ave
1	2079	2266	2140.7
2	2061	2143	2098.01
3	2035	2106	2067.24
4	2019	2070	2044.08
5	2007	2048	2027.14
6	2002	2030	2014.91
7	1996	2014	2005.96
8	1990	2007	1999.33
9	1986	2000	1993.77
10	1985	1996	1990.15
11	1983	1991	1987.64
12	1983	1989	1985.9
13	1982	1987	1984.72
14	1982	1987	1983.75
15	1982	1985	1982.88
16	1982	1984	1982.31
17	1982	1983	1982.06
18	1982	1983	1982.01
19	1982	1982	1982
trial...3
gene	min	max	ave
1	2073	2237	2143.89
2	2059	2146	2101.39
3	2037	2106	2069.78
4	2024	2070	2046.38
5	2009	2054	2029.33
6	2004	2034	2016.68
7	1996	2021	2007.64
8	1993	2012	2001.03
9	1989	2004	1995.82
10	1986	1997	1991.6
11	1985	1993	1988.48
12	1984	1990	1986.4
13	1983	1988	1985.03
14	1982	1986	1984.1
15	1982	1986	1983.55
16	1982	1984	1983.15
17	1982	1984	1982.96
18	1982	1983	1982.84
19	1982	1983	1982.69
20	1982	1983	1982.47
21	1982	1983	1982.21
22	1982	1983	1982.05
23	1982	1982	1982
trial...4
gene	min	max	ave
1	2068	2208	2140.45
2	2046	2149	2096.78
3	2030	2110	2065.13
4	2019	2066	2041.83
5	2005	2047	2024.95
6	1998	2027	2012.72
7	1994	2018	2003.73
8	1988	2005	1996.9
9	1985	1999	1991.83
10	1984	1994	1987.99
11	1982	1989	1985.57
12	1982	1986	1983.94
13	1982	1985	1982.98
14	1982	1984	1982.42
15	1982	1983	1982.1
16	1982	1983	1982.01
17	1982	1982	1982
trial...5
gene	min	max	ave
1	2090	2249	2140.33
2	2050	2144	2097.36
3	2032	2095	2066.24
4	2016	2068	2043.16
5	2007	2049	2027.12
6	2001	2032	2014.95
7	1994	2020	2005.76
8	1991	2008	1999.1
9	1987	2001	1993.69
10	1985	1994	1990.04
11	1982	1991	1987.6
12	1982	1989	1986.09
13	1982	1988	1985.12
14	1982	1987	1984.33
15	1982	1986	1983.52
16	1982	1985	1982.77
17	1982	1984	1982.22
18	1982	1984	1982.02
19	1982	1982	1982
trial...6
gene	min	max	ave
1	2077	2223	2144.82
2	2055	2157	2100.46
3	2039	2111	2068.94
4	2022	2070	2045.71
5	2006	2049	2029.69
6	2000	2036	2017.2
7	1995	2017	2007.46
8	1990	2009	2000.51
9	1989	2002	1995.16
10	1987	1999	1991.22
11	1985	1992	1988.21
12	1983	1989	1986.08
13	1983	1987	1984.68
14	1982	1986	1983.87
15	1982	1985	1983.31
16	1982	1984	1982.88
17	1982	1984	1982.58
18	1982	1983	1982.3
19	1982	1983	1982.08
20	1982	1982	1982
trial...7
gene	min	max	ave
1	2079	2219	2144.28
2	2063	2158	2099.68
3	2035	2107	2067.64
4	2018	2075	2044.42
5	2003	2048	2027.94
6	2002	2029	2016.04
7	1997	2021	2006.97
8	1993	2010	2000.12
9	1989	2001	1995.02
10	1986	1998	1991.1
11	1984	1992	1987.98
12	1983	1990	1985.94
13	1982	1987	1984.37
14	1982	1985	1983.41
15	1982	1984	1982.96
16	1982	1984	1982.76
17	1982	1983	1982.56
18	1982	1983	1982.27
19	1982	1983	1982.08
20	1982	1982	1982
trial...8
gene	min	max	ave
1	2036	2212	2141.22
2	2024	2144	2097.88
3	2020	2105	2066.28
4	2016	2074	2043.66
5	2009	2053	2027.18
6	2004	2030	2015.3
7	1999	2016	2006.99
8	1993	2010	2000.9
9	1988	2002	1996.12
10	1985	1998	1992.39
11	1985	1995	1989.54
12	1984	1991	1987.15
13	1983	1988	1985.59
14	1983	1987	1984.7
15	1982	1986	1984.18
16	1982	1986	1983.88
17	1982	1984	1983.62
18	1982	1984	1983.37
19	1982	1984	1983.04
20	1982	1984	1982.71
21	1982	1983	1982.52
22	1982	1983	1982.24
23	1982	1983	1982.06
24	1982	1983	1982.01
25	1982	1982	1982
trial...9
gene	min	max	ave
1	2087	2225	2144.45
2	2057	2161	2100.99
3	2029	2104	2068.02
4	2023	2073	2044.83
5	2011	2046	2028.06
6	2001	2031	2015.96
7	1996	2021	2007.13
8	1992	2010	2000.62
9	1989	2003	1995.36
10	1987	1998	1991.32
11	1985	1992	1988.58
12	1984	1990	1986.94
13	1984	1988	1985.86
14	1983	1988	1985.12
15	1982	1986	1984.48
16	1982	1986	1983.81
17	1982	1985	1983.24
18	1982	1984	1982.85
19	1982	1984	1982.63
20	1982	1983	1982.39
21	1982	1983	1982.16
22	1982	1983	1982.04
23	1982	1982	1982
trial...10
gene	min	max	ave
1	2082	2265	2144.09
2	2057	2143	2099.78
3	2038	2103	2068.22
4	2022	2078	2045.32
5	2004	2045	2028.68
6	2001	2032	2016.6
7	1994	2022	2007.57
8	1990	2011	2000.65
9	1987	2003	1995.29
10	1986	1998	1991.27
11	1984	1993	1988.14
12	1983	1990	1985.87
13	1982	1987	1984.42
14	1982	1986	1983.51
15	1982	1985	1982.88
16	1982	1984	1982.44
17	1982	1983	1982.16
18	1982	1983	1982.04
19	1982	1982	1982
trial...11
gene	min	max	ave
1	2059	2241	2138.11
