Instance : att532.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	91506	96543	93445.5
2	90366	93638	91828.6
3	89572	92533	90671.1
4	88891	90938	89806.2
5	88241	90077	89119.9
6	87757	89195	88569
7	87512	88882	88126.5
8	87286	88382	87780.5
9	87137	87845	87505
10	86983	87591	87282.6
11	86917	87336	87110.8
12	86846	87229	86991.6
13	86809	87037	86906.6
14	86764	86960	86847
15	86751	86873	86802.1
16	86751	86813	86773.5
17	86751	86797	86757
18	86751	86789	86751.7
19	86751	86752	86751.1
20	86751	86752	86751
21	86751	86751	86751
trial...2
gene	min	max	ave
1	91157	95592	93369.4
2	90309	93222	91798.1
3	89471	91886	90653.3
4	88900	91037	89787.2
5	88407	90170	89119
6	87970	89375	88577.6
7	87611	88772	88140.8
8	87261	88236	87804.1
9	87211	87909	87531.9
10	87082	87620	87325.7
11	86950	87441	87163.9
12	86911	87286	87042.6
13	86851	87077	86948.6
14	86796	86995	86878.5
15	86768	86939	86834.4
16	86752	86879	86805.5
17	86751	86817	86785.2
18	86751	86809	86770.3
19	86751	86802	86758.6
20	86751	86789	86752.8
21	86751	86752	86751.3
22	86751	86752	86751.1
23	86751	86752	86751
24	86751	86751	86751
trial...3
gene	min	max	ave
1	90455	95911	93267.3
2	90104	93489	91735.6
3	89296	92324	90603.2
4	88623	90665	89699.1
5	87962	89862	89011.7
6	87608	89217	88461.3
7	87423	88743	88022.8
8	87275	88281	87687.2
9	87049	87925	87427.9
10	86912	87737	87232.6
11	86875	87346	87083.3
12	86843	87223	86977.5
13	86781	87072	86901.8
14	86758	86938	86854.5
15	86751	86891	86819
16	86751	86847	86792.1
17	86751	86831	86769.8
18	86751	86812	86756.2
19	86751	86760	86751.4
20	86751	86752	86751
21	86751	86751	86751
trial...4
gene	min	max	ave
1	90940	96025	93318.3
2	89941	93961	91834.1
3	89246	92047	90730.2
4	88657	90800	89861.1
5	87915	89938	89171
6	87790	89267	88623
7	87621	88789	88185.3
8	87363	88442	87835.1
9	87137	88054	87523.7
10	87013	87583	87298
11	86908	87350	87132
12	86874	87154	87013.8
13	86824	87060	86937
14	86803	86988	86887.6
15	86785	86933	86852
16	86780	86889	86821
17	86780	86859	86800.3
18	86780	86829	86790.2
19	86780	86803	86785.9
20	86780	86790	86784.1
21	86780	86786	86782.6
22	86780	86786	86780.9
23	86780	86785	86780.1
24	86780	86780	86780
trial...5
gene	min	max	ave
1	90054	96021	93204.8
2	89459	93699	91661.8
3	88962	91685	90554.5
4	88160	90696	89701.7
5	87889	90105	89029.4
6	87669	89133	88475.4
7	87381	88713	88035.1
8	87128	88179	87689.1
9	87066	87786	87415.2
10	86961	87427	87203.7
11	86857	87265	87064.5
12	86840	87107	86963.4
13	86817	87002	86893.3
14	86791	86942	86842.6
15	86771	86881	86810.6
16	86769	86820	86795.2
17	86760	86808	86788.6
18	86743	86793	86784.9
19	86743	86792	86782.1
20	86729	86786	86778.7
21	86729	86786	86772.6
