Instance : bayg29.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	9073	9785	9217.19
2	9073	9345	9127.47
3	9073	9196	9092.17
4	9073	9151	9080.32
5	9073	9105	9075.26
6	9073	9094	9073.39
7	9073	9077	9073.02
8	9073	9073	9073
trial...2
gene	min	max	ave
1	9073	9593	9205.25
2	9073	9374	9128.88
3	9073	9207	9094.33
4	9073	9151	9079.67
5	9073	9105	9074.76
6	9073	9094	9073.23
7	9073	9073	9073
trial...3
gene	min	max	ave
1	9073	9760	9212.37
2	9073	9307	9123.33
3	9073	9230	9090.97
4	9073	9120	9080.12
5	9073	9094	9074.96
6	9073	9094	9073.5
7	9073	9077	9073.02
8	9073	9073	9073
trial...4
gene	min	max	ave
1	9073	9606	9207.56
2	9073	9407	9120.22
3	9073	9217	9089.03
4	9073	9120	9078.2
5	9073	9094	9074.68
6	9073	9077	9073.42
7	9073	9077	9073.08
8	9073	9073	9073
trial...5
gene	min	max	ave
1	9073	9619	9199.32
2	9073	9355	9115.19
3	9073	9185	9086.17
4	9073	9105	9077.76
5	9073	9094	9074.46
6	9073	9077	9073.2
7	9073	9077	9073.02
8	9073	9073	9073
trial...6
gene	min	max	ave
1	9073	9622	9228.02
2	9073	9382	9134.5
3	9073	9217	9097.74
4	9073	9140	9084.42
5	9073	9094	9077.33
6	9073	9094	9074.15
7	9073	9077	9073.2
8	9073	9073	9073
trial...7
gene	min	max	ave
1	9073	9533	9215.25
2	9073	9520	9133.12
3	9073	9213	9092.87
4	9073	9140	9080.54
5	9073	9094	9075.02
6	9073	9077	9073.66
7	9073	9077	9073.1
8	9073	9073	9073
trial...8
gene	min	max	ave
1	9073	9631	9213.25
2	9073	9313	9119.91
3	9073	9185	9086.75
4	9073	9112	9077.55
5	9073	9094	9074.42
6	9073	9077	9073.38
7	9073	9077	9073.04
8	9073	9073	9073
trial...9
gene	min	max	ave
1	9073	9707	9234.58
2	9073	9341	9131.07
3	9073	9250	9091.95
4	9073	9129	9079.61
5	9073	9094	9074.86
6	9073	9077	9073.6
7	9073	9077	9073.14
8	9073	9073	9073
trial...10
gene	min	max	ave
1	9073	9713	9211.17
2	9073	9471	9124.5
3	9073	9213	9091.51
4	9073	9112	9080.42
5	9073	9105	9075.25
6	9073	9094	9073.45
7	9073	9077	9073.02
8	9073	9073	9073
trial...11
gene	min	max	ave
1	9073	9775	9209.29
2	9073	9309	9118.03
3	9073	9151	9088.76
4	9073	9120	9079.87
5	9073	9094	9075.69
6	9073	9094	9073.94
7	9073	9077	9073.18
8	9073	9077	9073.02
9	9073	9073	9073
trial...12
gene	min	max	ave
1	9073	9651	9214.67
2	9073	9337	9122.3
3	9073	9196	9092.24
4	9073	9120	9079.09
5	9073	9094	9074.81
6	9073	9077	9073.14
7	9073	9073	9073
trial...13
gene	min	max	ave
1	9073	9620	9208.79
2	9073	9428	9124.62
3	9073	9162	9091.6
4	9073	9112	9080.23
5	9073	9094	9076.33
6	9073	9077	9073.9
7	9073	9077	9073.2
8	9073	9073	9073
trial...14
gene	min	max	ave
1	9073	9556	9210.5
2	9073	9300	9122.47
3	9073	9196	9091.61
4	9073	9112	9079.67
5	9073	9094	9074.95
6	9073	9077	9073.46
7	9073	9077	9073.06
8	9073	9073	9073
trial...15
gene	min	max	ave
1	9073	9704	9217.57
2	9073	9442	9127.18
3	9073	9196	9091.52
4	9073	9129	9081.02
5	9073	9094	9075.68
6	9073	9077	9073.56
7	9073	9077	9073.08
8	9073	9073	9073
trial...16
gene	min	max	ave
1	9073	9473	9200.88
2	9073	9336	9119.93
3	9073	9213	9090.74
4	9073	9151	9079.21
5	9073	9094	9074.75
6	9073	9077	9073.34
7	9073	9077	9073.04
8	9073	9073	9073
trial...17
gene	min	max	ave
1	9073	9649	9215.84
2	9073	9355	9127.6
3	9073	9200	9089.25
4	9073	9105	9078.88
5	9073	9094	9075.19
6	9073	9077	9073.36
7	9073	9077	9073.1
8	9073	9077	9073.02
9	9073	9073	9073
trial...18
gene	min	max	ave
1	9073	9797	9222.9
2	9073	9325	9128.2
3	9073	9196	9092.45
4	9073	9120	9080.88
5	9073	9094	9075.68
6	9073	9077	9073.72
7	9073	9077	9073.18
8	9073	9073	9073
trial...19
gene	min	max	ave
1	9073	9524	9218.23
2	9073	9395	9130.41
3	9073	9211	9093.82
4	9073	9120	9082.03
5	9073	9103	9075.48
6	9073	9077	9073.48
7	9073	9077	9073.06
8	9073	9073	9073
trial...20
gene	min	max	ave
1	9073	9675	9213.21
2	9073	9300	9120.74
3	9073	9207	9087.17
4	9073	9105	9078.54
5	9073	9094	9074.53
6	9073	9077	9073.22
7	9073	9073	9073
opt count : 0
opt average : 9073
convergence generation : 7.95
