Instance : bays29.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	9073	9629	9245.94
2	9073	9374	9136.02
3	9073	9225	9093.62
4	9073	9105	9079.17
5	9073	9094	9074.55
6	9073	9094	9073.28
7	9073	9073	9073
trial...2
gene	min	max	ave
1	9073	9692	9216.09
2	9073	9419	9125.41
3	9073	9207	9090.33
4	9073	9105	9079.92
5	9073	9094	9075.28
6	9073	9077	9073.42
7	9073	9077	9073.02
8	9073	9073	9073
trial...3
gene	min	max	ave
1	9073	9651	9196.6
2	9073	9300	9116.08
3	9073	9196	9084.25
4	9073	9108	9076.02
5	9073	9094	9073.8
6	9073	9077	9073.1
7	9073	9073	9073
trial...4
gene	min	max	ave
1	9073	9639	9206.41
2	9073	9323	9120.47
3	9073	9190	9087.76
4	9073	9112	9077.99
5	9073	9112	9074.19
6	9073	9077	9073.1
7	9073	9073	9073
trial...5
gene	min	max	ave
1	9073	9553	9209.51
2	9073	9335	9120.56
3	9073	9168	9089.71
4	9073	9112	9079.09
5	9073	9094	9075.42
6	9073	9094	9073.52
7	9073	9077	9073.02
8	9073	9073	9073
trial...6
gene	min	max	ave
1	9073	9685	9200.27
2	9073	9438	9117.49
3	9073	9196	9086.72
4	9073	9105	9078.49
5	9073	9094	9074.78
6	9073	9077	9073.4
7	9073	9077	9073.06
8	9073	9073	9073
trial...7
gene	min	max	ave
1	9073	9561	9203.99
2	9073	9304	9118.62
3	9073	9215	9095.83
4	9073	9120	9084.34
5	9073	9103	9078.03
6	9073	9094	9074.79
7	9073	9094	9073.28
8	9073	9073	9073
trial...8
gene	min	max	ave
1	9073	9625	9201.89
2	9073	9338	9116.93
3	9073	9156	9090.36
4	9073	9112	9081.24
5	9073	9094	9076.54
6	9073	9094	9074
7	9073	9077	9073.04
8	9073	9073	9073
trial...9
gene	min	max	ave
1	9073	9643	9219.99
2	9073	9335	9121.68
3	9073	9196	9088.75
4	9073	9138	9078.5
5	9073	9094	9074.36
6	9073	9077	9073.08
7	9073	9073	9073
trial...10
gene	min	max	ave
1	9073	9583	9211.31
2	9073	9300	9120.54
3	9073	9225	9086.47
4	9073	9120	9077.24
5	9073	9094	9074.05
6	9073	9077	9073.06
7	9073	9073	9073
trial...11
gene	min	max	ave
1	9073	9758	9220.22
2	9073	9379	9132.06
3	9073	9250	9094.1
4	9073	9120	9080.86
5	9073	9105	9075.96
6	9073	9077	9073.7
7	9073	9077	9073.18
8	9073	9077	9073.02
9	9073	9073	9073
trial...12
gene	min	max	ave
1	9073	9562	9212.59
2	9073	9360	9126.35
3	9073	9205	9089.98
4	9073	9156	9077.59
5	9073	9094	9073.75
6	9073	9077	9073.12
7	9073	9073	9073
trial...13
gene	min	max	ave
1	9073	9648	9209.64
2	9073	9355	9124.05
3	9073	9213	9089.61
4	9073	9112	9078.4
5	9073	9094	9074.25
6	9073	9077	9073.1
7	9073	9073	9073
trial...14
gene	min	max	ave
1	9073	9688	9216.85
2	9073	9405	9122.43
3	9073	9200	9087.78
4	9073	9105	9077.52
5	9073	9094	9073.89
6	9073	9094	9073.12
7	9073	9073	9073
trial...15
gene	min	max	ave
1	9073	9683	9224.67
2	9073	9325	9130.6
3	9073	9250	9093.93
4	9073	9120	9079.6
5	9073	9094	9074.97
6	9073	9077	9073.66
7	9073	9077	9073.16
8	9073	9073	9073
trial...16
gene	min	max	ave
1	9077	9778	9225.82
2	9073	9321	9131.28
3	9073	9225	9096.11
4	9073	9140	9085.2
5	9073	9103	9079.21
6	9073	9094	9075.06
7	9073	9077	9073.16
8	9073	9077	9073.04
9	9073	9073	9073
trial...17
gene	min	max	ave
1	9073	9702	9222.84
2	9073	9413	9125.44
3	9073	9196	9092.92
4	9073	9140	9081.06
5	9073	9094	9075.84
6	9073	9077	9073.68
7	9073	9077	9073.14
8	9073	9073	9073
trial...18
gene	min	max	ave
1	9073	9574	9226.53
2	9073	9325	9134.74
3	9073	9190	9094.34
4	9073	9140	9082.02
5	9073	9105	9076.57
6	9073	9094	9074.11
7	9073	9077	9073.12
8	9073	9073	9073
trial...19
gene	min	max	ave
1	9073	9679	9221.75
2	9073	9384	9126.66
3	9073	9250	9088.9
4	9073	9120	9078.25
5	9073	9094	9074.79
6	9073	9094	9073.57
7	9073	9077	9073.06
8	9073	9073	9073
trial...20
gene	min	max	ave
1	9073	9689	9241.64
2	9073	9317	9136.11
3	9073	9211	9095.2
4	9073	9121	9081.17
5	9073	9105	9076.22
6	9073	9094	9074.03
7	9073	9077	9073.24
8	9073	9073	9073
opt count : 0
opt average : 9073
convergence generation : 7.7
