Instance : bier127.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	119316	129942	124258
2	118822	125771	121820
3	118470	122951	120341
4	118389	121430	119443
5	118282	120606	118902
6	118282	119705	118596
7	118282	118864	118444
8	118282	118616	118340
9	118282	118499	118288
10	118282	118282	118282
trial...2
gene	min	max	ave
1	119391	130639	124383
2	118679	126043	121909
3	118638	123959	120469
4	118387	122042	119417
5	118282	120298	118872
6	118282	119535	118565
7	118282	118816	118404
8	118282	118790	118318
9	118282	118476	118285
10	118282	118282	118282
trial...3
gene	min	max	ave
1	119330	131669	124317
2	119046	126759	121765
3	118519	123478	120243
4	118356	121146	119326
5	118282	120023	118821
6	118282	119143	118586
7	118282	118821	118440
8	118282	118682	118344
9	118282	118616	118295
10	118282	118356	118283
11	118282	118282	118282
trial...4
gene	min	max	ave
1	119462	129320	124010
2	118607	125981	121545
3	118461	122258	120154
4	118282	121549	119307
5	118282	120131	118811
6	118282	119083	118563
7	118282	118981	118395
8	118282	118635	118303
9	118282	118356	118282
10	118282	118282	118282
trial...5
gene	min	max	ave
1	119455	129837	123726
2	118961	125146	121300
3	118569	122332	119941
4	118356	121129	119189
5	118282	120033	118776
6	118282	119059	118542
7	118282	118695	118404
8	118282	118609	118313
9	118282	118448	118287
10	118282	118356	118283
11	118282	118282	118282
trial...6
gene	min	max	ave
1	119281	130582	124171
2	118770	126417	121624
3	118490	122546	120151
4	118282	121749	119253
5	118282	119792	118811
6	118282	119189	118585
7	118282	118871	118444
8	118282	118669	118359
9	118282	118490	118301
10	118282	118490	118285
11	118282	118282	118282
trial...7
gene	min	max	ave
1	119615	130902	124146
2	119089	126178	121507
3	118282	123514	119971
4	118282	120747	119181
5	118282	119592	118728
6	118282	119199	118477
7	118282	118845	118353
8	118282	118476	118299
9	118282	118476	118284
10	118282	118282	118282
trial...8
gene	min	max	ave
1	119750	129808	124169
2	118996	125141	121624
3	118663	122787	120168
4	118282	121561	119281
5	118282	119851	118816
6	118282	119016	118594
7	118282	118821	118459
8	118282	118655	118354
9	118282	118476	118301
10	118282	118356	118283
11	118282	118282	118282
trial...9
gene	min	max	ave
1	119677	130683	124193
2	119086	127274	121600
3	118621	122125	120106
4	118423	120992	119274
5	118282	119743	118841
6	118282	119131	118622
7	118282	118880	118472
8	118282	118701	118367
9	118282	118621	118304
10	118282	118423	118283
11	118282	118282	118282
trial...10
gene	min	max	ave
1	118726	131642	124368
2	118647	126264	121697
3	118580	123408	120161
4	118461	120980	119298
5	118282	120076	118798
6	118282	119169	118569
7	118282	118942	118426
8	118282	118616	118327
9	118282	118476	118287
10	118282	118282	118282
trial...11
gene	min	max	ave
1	119230	130380	124476
2	118711	126137	121918
3	118711	123457	120385
4	118282	122001	119444
5	118282	120115	118891
6	118282	119377	118567
7	118282	119051	118403
8	118282	118656	118308
9	118282	118423	118283
10	118282	118282	118282
trial...12
gene	min	max	ave
1	119214	129931	124688
2	119099	127230	122138
3	118623	123131	120440
4	118342	122230	119474
5	118282	120096	118915
6	118282	119658	118618
7	118282	118833	118443
8	118282	118662	118340
9	118282	118490	118296
10	118282	118282	118282
trial...13
gene	min	max	ave
1	119462	130903	124083
2	119019	127345	121615
3	118357	123730	120180
4	118313	121150	119334
5	118282	120318	118823
6	118282	119029	118541
7	118282	118788	118387
8	118282	118564	118306
9	118282	118356	118282
10	118282	118282	118282
trial...14
gene	min	max	ave
1	119944	129936	124210
2	119262	125019	121779
3	118476	122429	120258
4	118443	121519	119334
5	118282	119995	118818
6	118282	119133	118561
7	118282	118774	118412
8	118282	118692	118313
9	118282	118356	118282
10	118282	118282	118282
trial...15
gene	min	max	ave
1	119089	129155	124156
2	118659	124774	121651
3	118628	123116	120242
4	118467	121705	119351
5	118326	120009	118872
6	118282	119525	118629
7	118282	118735	118487
8	118282	118655	118382
9	118282	118609	118314
10	118282	118461	118287
11	118282	118282	118282
trial...16
gene	min	max	ave
1	119938	129209	124120
2	119241	126505	121753
3	118716	122975	120309
4	118507	121732	119444
5	118282	120122	118890
6	118282	119544	118590
7	118282	118973	118405
8	118282	118685	118318
9	118282	118461	118285
10	118282	118282	118282
trial...17
gene	min	max	ave
1	119287	130821	123843
2	118994	125645	121544
3	118520	122156	120120
4	118356	120978	119263
5	118282	120034	118787
6	118282	119214	118510
7	118282	118998	118357
8	118282	118476	118293
9	118282	118356	118283
10	118282	118282	118282
trial...18
gene	min	max	ave
1	119606	130346	124183
2	118799	124738	121516
3	118691	123399	120127
4	118356	121223	119310
5	118282	120022	118870
6	118282	119552	118606
7	118282	118790	118430
8	118282	118662	118329
9	118282	118535	118286
10	118282	118282	118282
trial...19
gene	min	max	ave
1	120173	128491	124233
2	118827	124678	121802
3	118609	122495	120308
4	118361	121599	119403
5	118282	120306	118877
6	118282	119249	118613
7	118282	118877	118463
8	118282	118695	118364
9	118282	118476	118306
10	118282	118423	118286
11	118282	118423	118283
12	118282	118282	118282
trial...20
gene	min	max	ave
1	119832	131206	123961
2	118692	126665	121580
3	118483	122693	120188
4	118357	121511	119310
5	118282	119907	118796
6	118282	119000	118534
7	118282	118833	118372
8	118282	118609	118298
9	118282	118342	118282
10	118282	118282	118282
opt count : 0
opt average : 118282
convergence generation : 10.4
