Instance : ch150.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	6667	7245	6931.36
2	6624	7007	6764.57
3	6528	6861	6660.57
4	6528	6721	6598.53
5	6528	6621	6563.69
6	6528	6595	6546.51
7	6528	6567	6537.06
8	6528	6556	6530.8
9	6528	6549	6528.16
10	6528	6528	6528
trial...2
gene	min	max	ave
1	6694	7305	6935.1
2	6591	6975	6774.73
3	6539	6869	6673.14
4	6528	6737	6607.48
5	6528	6641	6571.09
6	6528	6610	6549.6
7	6528	6572	6537.27
8	6528	6559	6530.52
9	6528	6544	6528.28
10	6528	6528	6528
trial...3
gene	min	max	ave
1	6655	7315	6955.3
2	6578	7072	6787.89
3	6540	6854	6682.48
4	6528	6781	6615.25
5	6528	6658	6573.58
6	6528	6611	6549.39
7	6528	6574	6537.78
8	6528	6562	6531.54
9	6528	6554	6528.52
10	6528	6528	6528
trial...4
gene	min	max	ave
1	6671	7244	6936.77
2	6565	6994	6765.43
3	6532	6817	6661.52
4	6528	6733	6597.69
5	6528	6628	6562.93
6	6528	6587	6548.31
7	6528	6567	6538.17
8	6528	6560	6532.38
9	6528	6543	6529.2
10	6528	6533	6528.19
11	6528	6528	6528
trial...5
gene	min	max	ave
1	6620	7351	6952.23
2	6572	7035	6787.76
3	6560	6847	6682.24
4	6541	6710	6616.88
5	6528	6695	6576.19
6	6528	6602	6555.45
7	6528	6571	6542.97
8	6528	6560	6534.35
9	6528	6556	6529.69
10	6528	6528	6528
trial...6
gene	min	max	ave
1	6654	7285	6943.56
2	6607	7011	6770.76
3	6553	6809	6666.55
4	6532	6739	6606.01
5	6528	6639	6572.1
6	6528	6603	6552.32
7	6528	6575	6540.89
8	6528	6556	6533.53
9	6528	6549	6529.47
10	6528	6543	6528.07
11	6528	6528	6528
trial...7
gene	min	max	ave
1	6655	7315	6942.12
2	6585	6984	6771.61
3	6564	6779	6666.49
4	6532	6720	6603.78
5	6528	6653	6568.01
6	6528	6588	6547.93
7	6528	6565	6537.64
8	6528	6556	6531.22
9	6528	6549	6528.45
10	6528	6533	6528.02
11	6528	6528	6528
trial...8
gene	min	max	ave
1	6672	7208	6928.45
2	6575	6968	6762.62
3	6540	6822	6662.51
4	6528	6729	6597.22
5	6528	6639	6560.11
6	6528	6595	6539.46
7	6528	6556	6530.88
8	6528	6533	6528.34
9	6528	6528	6528
trial...9
gene	min	max	ave
1	6713	7260	6941.07
2	6580	6972	6774.49
3	6566	6850	6669.26
4	6538	6695	6606.6
5	6528	6651	6568.02
6	6528	6595	6551.38
7	6528	6567	6542.53
8	6528	6556	6535.36
9	6528	6553	6531.39
10	6528	6543	6528.97
11	6528	6533	6528.05
12	6528	6528	6528
trial...10
gene	min	max	ave
1	6668	7307	6947.59
2	6616	6994	6771.44
3	6556	6819	6669.43
4	6528	6726	6604.95
5	6528	6653	6567.72
6	6528	6599	6549.58
7	6528	6570	6539.73
8	6528	6556	6532.79
9	6528	6550	6528.7
10	6528	6533	6528.02
11	6528	6528	6528
trial...11
gene	min	max	ave
1	6564	7259	6936.8
2	6542	7006	6771.28
3	6533	6828	6667.22
4	6528	6717	6604.15
5	6528	6641	6566.91
6	6528	6582	6547.95
7	6528	6574	6538.06
8	6528	6556	6530.98
9	6528	6549	6528.13
10	6528	6528	6528
trial...12
gene	min	max	ave
1	6649	7315	6947.43
2	6562	7034	6767.66
3	6547	6872	6665.26
4	6528	6766	6602.27
5	6528	6669	6566.61
6	6528	6616	6548.38
7	6528	6571	6536.93
8	6528	6560	6531.16
9	6528	6543	6528.59
10	6528	6528	6528
trial...13
gene	min	max	ave
1	6635	7340	6927.69
2	6576	6995	6762.07
3	6561	6855	6662.24
4	6533	6709	6600.16
5	6528	6662	6564.81
6	6528	6588	6548.22
7	6528	6574	6538.15
8	6528	6560	6531.67
9	6528	6555	6528.71
10	6528	6528	6528
trial...14
gene	min	max	ave
1	6668	7305	6951.77
2	6623	7132	6777.06
3	6556	6841	6675.86
4	6528	6723	6612.81
5	6528	6648	6573.86
6	6528	6589	6552.56
7	6528	6576	6539.45
8	6528	6560	6531.35
9	6528	6555	6528.25
10	6528	6528	6528
trial...15
gene	min	max	ave
1	6623	7247	6942.08
2	6557	7007	6774.85
3	6528	6840	6669.4
4	6528	6713	6603.09
5	6528	6666	6563.07
6	6528	6593	6542.82
7	6528	6570	6531.95
8	6528	6540	6528.13
9	6528	6528	6528
trial...16
gene	min	max	ave
1	6642	7281	6939.89
2	6584	6961	6770.91
3	6556	6809	6671.27
4	6540	6715	6609.56
5	6528	6662	6572.4
6	6528	6600	6550
7	6528	6573	6538.53
8	6528	6556	6531.95
9	6528	6544	6528.47
10	6528	6533	6528.05
11	6528	6528	6528
trial...17
gene	min	max	ave
1	6650	7298	6931.48
2	6576	6989	6756.17
3	6533	6855	6655.76
4	6528	6697	6592.6
5	6528	6650	6561.39
6	6528	6618	6544.36
7	6528	6563	6534.9
8	6528	6556	6529.69
9	6528	6533	6528.05
10	6528	6528	6528
trial...18
gene	min	max	ave
1	6684	7230	6938.15
2	6618	6992	6771.94
3	6559	6833	6672.81
4	6538	6710	6605.14
5	6528	6636	6570.69
6	6528	6602	6547.8
7	6528	6571	6536.69
8	6528	6550	6530.44
9	6528	6543	6528.3
10	6528	6528	6528
trial...19
gene	min	max	ave
1	6722	7232	6938.66
2	6574	7024	6768.13
3	6540	6798	6670.95
4	6528	6715	6605.81
5	6528	6652	6568.48
6	6528	6609	6550.96
7	6528	6580	6539.33
8	6528	6560	6532.45
9	6528	6543	6529.05
10	6528	6533	6528.15
11	6528	6528	6528
trial...20
gene	min	max	ave
1	6711	7333	6940.34
2	6573	6976	6773.59
3	6545	6853	6666.15
4	6528	6726	6604.53
5	6528	6649	6568.53
6	6528	6604	6546.69
7	6528	6568	6534.89
8	6528	6549	6529.69
9	6528	6533	6528.32
10	6528	6528	6528
opt count : 0
opt average : 6528
convergence generation : 10.3
