Instance : d493.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	36650	38764	37441
2	36356	37637	36857.7
3	35908	36918	36430.9
4	35680	36441	36097.5
5	35537	36135	35838.9
6	35405	35919	35629.2
7	35205	35704	35464.3
8	35134	35525	35333.4
9	35086	35404	35225.3
10	35055	35282	35145.2
11	35031	35192	35086.1
12	35025	35107	35053.2
13	35012	35069	35035.5
14	35005	35048	35024.4
15	35005	35030	35017.7
16	35003	35028	35013
17	35003	35021	35009.3
18	35003	35016	35006.6
19	35003	35012	35004.9
20	35003	35008	35004.1
21	35003	35005	35003.9
22	35003	35005	35003.8
23	35003	35004	35003.6
24	35003	35004	35003.3
25	35003	35004	35003.1
26	35003	35004	35003
27	35003	35003	35003
trial...2
gene	min	max	ave
1	36605	38208	37437.4
2	36150	37384	36851.3
3	36020	36862	36423.2
4	35658	36484	36112
5	35522	36192	35863.9
6	35318	35930	35663.9
7	35261	35742	35497.3
8	35183	35612	35362.2
9	35104	35419	35255.5
10	35069	35321	35175.3
11	35038	35206	35116.6
12	35017	35157	35073
13	35012	35133	35040.9
14	35006	35071	35023.2
15	35004	35036	35014.4
16	35002	35022	35009.5
17	35002	35020	35006.7
18	35002	35013	35004.8
19	35002	35006	35003.8
20	35002	35005	35003
21	35002	35005	35002.3
22	35002	35005	35002
23	35002	35002	35002
trial...3
gene	min	max	ave
1	36747	38408	37420.3
2	36400	37515	36836.7
3	35906	36798	36424
4	35767	36432	36101.3
5	35506	36106	35848.6
6	35287	35858	35644.1
7	35220	35693	35477.4
8	35121	35546	35341.3
9	35087	35435	35232.6
10	35036	35353	35143.4
11	35024	35168	35087.6
12	35015	35113	35054.4
13	35012	35088	35034.9
14	35008	35053	35023.7
15	35008	35030	35017.4
16	35008	35026	35013
17	35007	35019	35009.7
18	35005	35017	35008.4
19	35005	35009	35008
20	35005	35009	35007.9
21	35005	35008	35007.8
22	35005	35008	35007.5
23	35005	35008	35007.1
24	35005	35008	35006.4
25	35005	35008	35005.6
26	35005	35008	35005
27	35005	35005	35005
trial...4
gene	min	max	ave
1	36667	38876	37465
2	36343	37532	36860.7
3	35958	36919	36421.1
4	35745	36481	36096.5
5	35478	36148	35840.6
6	35350	35993	35640.5
7	35284	35759	35479.2
8	35197	35526	35356.8
9	35128	35401	35260.3
10	35062	35291	35185.1
11	35023	35241	35127.4
12	35017	35161	35081.5
13	35007	35114	35049.6
14	35003	35094	35029.1
15	35002	35046	35016.8
16	35002	35029	35009.7
17	35002	35018	35005.1
18	35002	35011	35002.5
19	35002	35002	35002
trial...5
gene	min	max	ave
1	36707	38361	37481.9
2	36274	37549	36870.5
3	35918	37002	36445.7
4	35651	36515	36113.3
5	35475	36197	35843.9
6	35307	35935	35635.8
7	35207	35687	35459.3
8	35132	35506	35326.7
9	35084	35425	35227.3
10	35066	35271	35148.2
11	35029	35202	35093.3
12	35018	35122	35060.6
13	35012	35081	35038.4
14	35005	35055	35025.6
15	35005	35039	35017.4
16	35003	35027	35011.9
17	35003	35026	35008.6
18	35002	35017	35006.4
19	35002	35014	35005
20	35002	35006	35004.3
21	35002	35005	35004
22	35002	35005	35003.6
23	35002	35004	35003.3
24	35002	35004	35002.9
25	35002	35004	35002.5
26	35002	35003	35002.2
27	35002	35003	35002
28	35002	35002	35002
trial...6
gene	min	max	ave
1	36658	38493	37415.4
2	36322	37432	36845.9
3	35864	36888	36453.6
4	35807	36473	36130
5	35408	36188	35873.2
6	35346	35926	35654.2
7	35197	35750	35474.5
8	35130	35528	35330
9	35074	35384	35224.8
10	35045	35259	35140.9
11	35020	35204	35079.7
12	35007	35117	35044.5
13	35005	35059	35027.6
14	35005	35040	35017.4
15	35004	35028	35010.7
16	35003	35023	35006.5
17	35002	35008	35005
18	35002	35005	35004.7
19	35002	35005	35004.5
20	35002	35005	35004.2
21	35002	35005	35003.7
22	35002	35005	35003.1
23	35002	35005	35002.8
24	35002	35003	35002.5
25	35002	35003	35002.2
26	35002	35003	35002
27	35002	35002	35002
trial...7
gene	min	max	ave
1	36798	38813	37480.7
2	36336	37691	36878
3	35990	36974	36431.3
4	35731	36478	36122.8
5	35458	36160	35860.6
6	35362	35936	35648.2
7	35283	35694	35489.4
8	35140	35528	35350.8
9	35067	35427	35244.8
10	35043	35291	35160.8
11	35026	35199	35101.6
12	35009	35126	35056.9
13	35003	35112	35033.8
14	35002	35048	35020.7
15	35002	35039	35011.8
16	35002	35027	35006.2
17	35002	35011	35003
18	35002	35009	35002.2
19	35002	35003	35002
20	35002	35002	35002
trial...8
gene	min	max	ave
1	36481	38640	37404.8
2	36134	37959	36794.2
3	35890	36868	36378.2
4	35610	36507	36042.4
5	35539	36118	35776.4
6	35326	35823	35569.8
7	35193	35654	35411.9
8	35120	35451	35290.3
9	35082	35340	35197.4
10	35036	35241	35124.9
11	35030	35173	35076.1
12	35012	35092	35047.4
13	35008	35065	35031.4
14	35005	35042	35021.9
15	35004	35029	35015.6
16	35004	35022	35010.8
17	35004	35020	35006.8
18	35004	35016	35005.2
19	35004	35008	35004.5
20	35004	35005	35004.1
21	35004	35005	35004
22	35004	35004	35004
trial...9
gene	min	max	ave
1	36655	38480	37402.9
2	36243	37533	36827.2
3	35929	36803	36396.3
4	35609	36466	36065.7
5	35450	36176	35808.4
6	35339	35874	35604.1
7	35224	35694	35440.9
8	35148	35519	35312.3
9	35075	35397	35212.9
10	35034	35265	35142.1
11	35019	35215	35088.3
12	35016	35135	35053.3
13	35011	35085	35030.4
14	35005	35050	35018.7
15	35003	35025	35014.7
16	35003	35018	35012.2
17	35003	35017	35009.8
18	35003	35014	35008.1
19	35003	35013	35006.8
20	35003	35009	35005.8
21	35003	35009	35004.7
22	35003	35008	35004
23	35003	35005	35003.5
24	35002	35005	35003.1
25	35002	35003	35003
26	35002	35003	35003
27	35002	35003	35003
28	35002	35003	35002.9
29	35002	35003	35002.9
30	35002	35003	35002.7
31	35002	35003	35002.5
32	35002	35003	35002.3
33	35002	35003	35002.1
34	35002	35003	35002
35	35002	35002	35002
trial...10
gene	min	max	ave
1	36672	38169	37397.4
2	36407	37507	36837.1
3	36134	36847	36422.8
4	35814	36476	36104.1
5	35545	36082	35852.4
6	35399	35900	35656.2
7	35203	35710	35494.6
8	35169	35521	35356.7
9	35107	35420	35254.3
10	35060	35288	35171.8
11	35035	35225	35112.5
12	35017	35173	35067.8
13	35013	35118	35038.8
14	35008	35054	35022.7
15	35008	35038	35015.8
16	35008	35025	35013.2
17	35008	35018	35011.7
18	35008	35014	35010.2
19	35008	35014	35008.8
20	35008	35010	35008.1
21	35008	35010	35008
22	35008	35008	35008
trial...11
gene	min	max	ave
1	36681	38603	37467.9
2	36222	37580	36879.9
3	35803	37007	36455.3
4	35699	36445	36120.7
5	35552	36144	35861.2
6	35323	35908	35648.4
7	35237	35700	35478.8
8	35168	35519	35343.8
9	35101	35381	35236.7
10	35073	35281	35155.6
11	35037	35202	35097.2
12	35014	35119	35058.7
13	35009	35087	35038.5
14	35005	35049	35025.5
15	35003	35042	35017.2
16	35002	35032	35011.2
17	35002	35021	35007
18	35002	35017	35004.5
19	35002	35008	35003.5
20	35002	35005	35002.8
21	35002	35004	35002.2
22	35002	35004	35002
23	35002	35002	35002
trial...12
gene	min	max	ave
1	36658	38396	37430.8
2	36376	37514	36863.6
3	35926	36954	36448.2
4	35684	36569	36118.4
5	35319	36202	35857.1
6	35278	35973	35641.9
7	35197	35711	35468.6
8	35119	35538	35325.5
9	35049	35401	35217.8
10	35043	35303	35140.8
11	35022	35223	35084.3
12	35017	35136	35048
13	35010	35053	35029.7
14	35005	35034	35020.6
15	35005	35026	35015.4
16	35005	35020	35011.6
17	35005	35017	35008.7
18	35005	35015	35006.9
19	35005	35009	35005.9
20	35005	35008	35005.3
21	35005	35005	35005
trial...13
gene	min	max	ave
1	36713	38603	37438.2
2	36117	37391	36855
3	35873	36990	36430.3
4	35623	36427	36107.8
5	35500	36258	35846.5
6	35349	35931	35634.4
7	35201	35705	35465.4
8	35127	35500	35322.1
9	35100	35408	35222.2
10	35051	35310	35140.8
11	35026	35192	35085.2
12	35024	35107	35056.2
13	35008	35065	35038.5
14	35005	35056	35027.6
15	35005	35037	35019.7
16	35005	35028	35014.2
17	35005	35024	35010.1
18	35005	35020	35007.1
19	35004	35012	35005.5
20	35004	35008	35005
21	35004	35005	35005
22	35004	35005	35004.9
23	35004	35005	35004.8
24	35004	35005	35004.7
25	35004	35005	35004.5
26	35004	35005	35004.2
27	35004	35005	35004.1
28	35004	35005	35004
29	35004	35004	35004
trial...14
gene	min	max	ave
1	36704	38590	37415.4
2	36194	37476	36814.5
3	35754	36898	36374.8
4	35599	36409	36056.4
5	35498	36072	35796.4
6	35394	35880	35599.7
7	35252	35678	35440.4
8	35140	35475	35309.8
9	35074	35341	35217.8
10	35047	35285	35143.4
11	35017	35188	35089.2
12	35011	35146	35052
13	35005	35109	35030.6
