Instance : eil101.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	645	690	665.385
2	637	670	652.985
3	633	659	644.285
4	629	647	638.19
5	629	644	633.515
6	629	640	630.66
7	629	637	629.455
8	629	630	629.155
9	629	630	629.04
10	629	629	629
trial...2
gene	min	max	ave
1	647	694	665.63
2	637	672	652.975
3	633	660	644.605
4	629	648	638.615
5	629	644	633.88
6	629	640	630.865
7	629	633	629.5
8	629	630	629.1
9	629	630	629.005
10	629	629	629
trial...3
gene	min	max	ave
1	650	683	665.125
2	637	669	653.23
3	630	656	644.58
4	629	650	638.23
5	629	642	633.33
6	629	638	630.385
7	629	633	629.45
8	629	630	629.13
9	629	630	629.015
10	629	629	629
trial...4
gene	min	max	ave
1	645	684	664.695
2	637	668	652.875
3	632	657	644.425
4	630	649	638.47
5	629	643	634.01
6	629	638	630.95
7	629	633	629.725
8	629	630	629.26
9	629	630	629.065
10	629	629	629
trial...5
gene	min	max	ave
1	643	690	666.435
2	636	670	653.76
3	633	657	644.835
4	630	649	637.92
5	629	643	633.275
6	629	638	630.525
7	629	632	629.63
8	629	630	629.305
9	629	630	629.08
10	629	630	629.005
11	629	629	629
trial...6
gene	min	max	ave
1	644	689	665.65
2	638	669	653.045
3	633	658	644.595
4	631	650	638.845
5	629	643	634.565
6	629	639	631.575
7	629	635	629.815
8	629	634	629.23
9	629	630	629.025
10	629	629	629
trial...7
gene	min	max	ave
1	646	691	665.285
2	633	668	652.695
3	630	663	643.865
4	630	649	637.455
5	629	645	633.005
6	629	638	630.475
7	629	633	629.53
8	629	630	629.14
9	629	630	629.015
10	629	629	629
trial...8
gene	min	max	ave
1	647	691	665.26
2	637	667	652.87
3	633	656	644.72
4	630	648	638.58
5	629	644	634.555
6	629	639	631.72
7	629	637	630.4
8	629	633	629.74
9	629	632	629.385
10	629	630	629.13
11	629	630	629.015
12	629	629	629
trial...9
gene	min	max	ave
1	639	685	666.135
2	634	669	653.575
3	630	658	644.31
4	629	655	637.55
5	629	643	633.03
6	629	640	630.285
7	629	633	629.375
8	629	633	629.08
9	629	630	629.01
10	629	629	629
trial...10
gene	min	max	ave
1	642	688	663.61
2	640	664	651.61
3	631	655	643.565
4	629	649	637.89
5	629	643	633.73
6	629	638	630.875
7	629	636	629.745
8	629	630	629.295
9	629	630	629.09
10	629	630	629.005
11	629	629	629
trial...11
gene	min	max	ave
1	644	686	665.315
2	636	667	652.75
3	632	655	644.54
4	629	650	638.6
5	629	644	634.245
6	629	640	631.405
7	629	637	629.825
8	629	631	629.31
9	629	630	629.08
10	629	630	629.01
11	629	629	629
trial...12
gene	min	max	ave
1	644	686	665.425
2	631	666	652.745
3	631	659	644.66
4	629	648	638.22
5	629	643	633.83
6	629	639	630.83
7	629	634	629.48
8	629	630	629.09
9	629	629	629
trial...13
gene	min	max	ave
1	642	688	664.095
2	636	665	652.35
3	630	657	644.18
4	629	647	638.24
5	629	643	634.06
6	629	638	631.205
7	629	637	629.66
8	629	630	629.165
9	629	630	629.02
10	629	629	629
trial...14
gene	min	max	ave
1	648	685	665.585
2	637	667	653.12
3	629	656	644.76
4	629	647	638.38
5	629	642	633.835
6	629	639	631.06
7	629	635	629.635
8	629	630	629.185
9	629	630	629.02
10	629	630	629.005
11	629	629	629
trial...15
gene	min	max	ave
1	642	685	665.945
2	635	671	653.4
3	629	653	644.615
4	629	650	638.33
5	629	642	633.715
6	629	639	630.97
7	629	637	629.84
8	629	630	629.375
9	629	630	629.125
10	629	630	629.015
11	629	629	629
trial...16
gene	min	max	ave
1	645	686	666.215
2	636	676	654.005
3	631	662	644.995
4	629	652	638.085
5	629	645	633.315
6	629	639	630.485
7	629	636	629.39
8	629	630	629.11
9	629	630	629.01
10	629	629	629
trial...17
gene	min	max	ave
1	638	687	663.56
2	633	668	651.345
3	630	655	642.35
4	629	647	635.865
5	629	642	631.81
6	629	637	629.95
7	629	631	629.32
8	629	630	629.095
9	629	629	629
trial...18
gene	min	max	ave
1	644	688	663.84
2	636	667	651.81
3	631	655	643.39
4	629	649	637.475
5	629	640	632.71
6	629	635	630.405
7	629	632	629.555
8	629	630	629.225
9	629	630	629.035
10	629	629	629
trial...19
gene	min	max	ave
1	645	686	664.865
2	636	667	651.715
3	632	656	642.99
4	629	647	637.085
5	629	642	633.085
6	629	637	630.555
7	629	633	629.64
8	629	631	629.26
9	629	630	629.05
10	629	629	629
trial...20
gene	min	max	ave
1	643	689	665.12
2	633	667	652.795
3	630	657	644.47
4	629	652	637.965
5	629	642	633.26
6	629	639	630.24
7	629	632	629.15
8	629	630	629.015
9	629	629	629
opt count : 0
opt average : 629
convergence generation : 10.2
