Instance : eil76.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	542	594	564.87
2	540	568	554.38
3	538	557	547.7
4	538	551	543.01
5	538	547	539.775
6	538	542	538.315
7	538	540	538.025
8	538	538	538
trial...2
gene	min	max	ave
1	546	599	565.45
2	539	568	554.425
3	539	559	547.905
4	538	554	542.915
5	538	549	539.79
6	538	543	538.325
7	538	540	538.02
8	538	538	538
trial...3
gene	min	max	ave
1	545	586	564.45
2	540	567	554.22
3	538	559	547.66
4	538	551	542.87
5	538	545	539.87
6	538	543	538.525
7	538	540	538.01
8	538	538	538
trial...4
gene	min	max	ave
1	545	589	564.505
2	541	571	553.71
3	538	557	547.46
4	538	551	542.735
5	538	546	539.86
6	538	543	538.405
7	538	540	538.03
8	538	540	538.01
9	538	538	538
trial...5
gene	min	max	ave
1	544	598	564.895
2	538	572	554.15
3	538	557	546.9
4	538	551	541.965
5	538	545	539.105
6	538	540	538.11
7	538	538	538
trial...6
gene	min	max	ave
1	550	602	565.855
2	545	589	555.2
3	540	560	548.455
4	538	552	543.725
5	538	546	540.215
6	538	546	538.575
7	538	541	538.08
8	538	538	538
trial...7
gene	min	max	ave
1	544	591	563.46
2	538	570	553.54
3	538	557	547.35
4	538	553	542.775
5	538	549	539.665
6	538	542	538.345
7	538	541	538.05
8	538	538	538
trial...8
gene	min	max	ave
1	543	590	564.77
2	541	568	553.755
3	538	562	547.03
4	538	551	542.62
5	538	547	539.415
6	538	542	538.175
7	538	539	538.025
8	538	539	538.005
9	538	538	538
trial...9
gene	min	max	ave
1	547	592	563.73
2	540	569	553.515
3	538	563	547.44
4	538	555	542.775
5	538	549	539.785
6	538	543	538.51
7	538	543	538.065
8	538	538	538
trial...10
gene	min	max	ave
1	541	581	564.07
2	541	572	553.56
3	538	557	546.495
4	538	549	542.14
5	538	546	539.6
6	538	542	538.365
7	538	540	538.035
8	538	538	538
trial...11
gene	min	max	ave
1	547	590	565.42
2	538	571	553.91
3	538	562	547.24
4	538	553	542.72
5	538	547	539.555
6	538	545	538.26
7	538	541	538.015
8	538	538	538
trial...12
gene	min	max	ave
1	546	588	563.705
2	539	570	553.455
3	538	557	546.76
4	538	552	542.21
5	538	546	539.395
6	538	543	538.305
7	538	540	538.015
8	538	538	538
trial...13
gene	min	max	ave
1	548	583	565.44
2	539	569	554.42
3	538	561	547.03
4	538	554	542.455
5	538	549	539.565
6	538	543	538.31
7	538	540	538.035
8	538	538	538
trial...14
gene	min	max	ave
1	551	586	565.67
2	541	568	554.88
3	538	559	547.875
4	538	553	543.045
5	538	548	539.675
6	538	544	538.285
7	538	539	538.005
8	538	538	538
trial...15
gene	min	max	ave
1	539	581	564.1
2	538	571	553.575
3	538	558	547.01
4	538	553	542.465
5	538	546	539.325
6	538	544	538.185
7	538	540	538.03
8	538	538	538
trial...16
gene	min	max	ave
1	542	586	565.06
2	540	566	554.5
3	539	559	547.57
4	538	552	543.265
5	538	549	540.21
6	538	544	538.66
7	538	540	538.05
8	538	538	538
trial...17
gene	min	max	ave
1	546	588	565.115
2	540	572	553.935
3	538	559	547.605
4	538	555	542.735
5	538	546	539.975
6	538	542	538.52
7	538	540	538.07
8	538	538	538
trial...18
gene	min	max	ave
1	542	597	565
2	538	567	554.265
3	538	562	547.785
4	538	553	543.42
5	538	548	540.06
6	538	544	538.49
7	538	539	538.03
8	538	538	538
trial...19
gene	min	max	ave
1	545	587	565.015
2	541	573	554.34
3	538	562	547.61
4	538	554	543.005
5	538	547	539.805
6	538	546	538.405
7	538	540	538.025
8	538	538	538
trial...20
gene	min	max	ave
1	548	590	565.06
2	540	571	553.825
3	538	560	547.315
4	538	552	542.81
5	538	548	540.12
6	538	546	538.67
7	538	542	538.075
8	538	538	538
opt count : 0
opt average : 538
convergence generation : 8.05
