Instance : gil262.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	2476	2651	2561.46
2	2431	2579	2507.89
3	2408	2519	2469.72
4	2402	2478	2440.41
5	2385	2452	2419.07
6	2379	2433	2404.07
7	2378	2414	2392.7
8	2378	2402	2385.55
9	2378	2393	2381.11
10	2378	2386	2379.22
11	2378	2380	2378.36
12	2378	2379	2378.09
13	2378	2378	2378
trial...2
gene	min	max	ave
1	2483	2643	2558.36
2	2447	2573	2505.5
3	2415	2523	2466.61
4	2400	2487	2435.95
5	2389	2437	2413.78
6	2382	2426	2398.24
7	2378	2407	2388.11
8	2378	2393	2382.42
9	2378	2386	2379.64
10	2378	2383	2378.41
11	2378	2379	2378.03
12	2378	2378	2378
trial...3
gene	min	max	ave
1	2476	2648	2564.54
2	2437	2562	2509.6
3	2414	2515	2469.3
4	2399	2487	2438.23
5	2388	2451	2415.13
6	2380	2424	2398.18
7	2378	2411	2387.55
8	2378	2397	2381.86
9	2378	2387	2379.21
10	2378	2384	2378.24
11	2378	2379	2378.03
12	2378	2378	2378
trial...4
gene	min	max	ave
1	2493	2638	2565.39
2	2442	2576	2511.82
3	2419	2513	2470.93
4	2394	2479	2438.51
5	2387	2453	2414.91
6	2378	2429	2399.3
7	2378	2408	2389.14
8	2378	2399	2383.16
9	2378	2391	2379.95
10	2378	2384	2378.52
11	2378	2381	2378.03
12	2378	2378	2378
trial...5
gene	min	max	ave
1	2481	2636	2558.51
2	2443	2562	2504.03
3	2420	2510	2465.41
4	2395	2477	2435.17
5	2383	2451	2414.33
6	2381	2426	2397.93
7	2378	2406	2387.77
8	2378	2398	2381.57
9	2378	2384	2379
10	2378	2380	2378.34
11	2378	2379	2378.07
12	2378	2378	2378
trial...6
gene	min	max	ave
1	2488	2655	2562.2
2	2450	2586	2509.53
3	2419	2522	2469.98
4	2404	2483	2437.46
5	2389	2450	2417.51
6	2383	2423	2402.31
7	2378	2411	2390.89
8	2378	2401	2383.55
9	2378	2392	2380
10	2378	2384	2378.45
11	2378	2379	2378.07
12	2378	2379	2378.01
13	2378	2378	2378
trial...7
gene	min	max	ave
1	2447	2650	2559.18
2	2430	2570	2504.74
3	2399	2514	2463.62
4	2388	2474	2434.57
5	2382	2444	2413
6	2378	2422	2398.97
7	2378	2409	2388.78
8	2378	2397	2382.72
9	2378	2387	2379.64
10	2378	2382	2378.43
11	2378	2379	2378.11
12	2378	2379	2378.01
13	2378	2378	2378
trial...8
gene	min	max	ave
1	2487	2655	2567.73
2	2436	2593	2511.05
3	2426	2515	2469.84
4	2394	2479	2441.58
5	2388	2453	2419.26
6	2384	2427	2401.78
7	2381	2408	2391.45
8	2378	2400	2384.8
9	2378	2391	2381.31
10	2378	2385	2379.57
11	2378	2381	2378.73
12	2378	2380	2378.2
13	2378	2379	2378.03
14	2378	2378	2378
trial...9
gene	min	max	ave
