Instance : gr137.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	710	766	737.82
2	698	747	719.825
3	698	735	707.65
4	697	718	700.38
5	697	705	697.9
6	697	699	697.17
7	697	698	697.02
8	697	697	697
trial...2
gene	min	max	ave
1	704	789	738.54
2	698	746	720.8
3	697	731	708.62
4	697	714	700.95
5	697	704	698.035
6	697	701	697.18
7	697	698	697.005
8	697	697	697
trial...3
gene	min	max	ave
1	702	787	736.955
2	699	746	718.15
3	697	725	706.62
4	697	715	699.815
5	697	705	697.68
6	697	699	697.14
7	697	698	697.01
8	697	697	697
trial...4
gene	min	max	ave
1	708	769	737.585
2	700	745	719.84
3	697	734	707.865
4	697	715	701.085
5	697	705	698.17
6	697	701	697.135
7	697	698	697.005
8	697	697	697
trial...5
gene	min	max	ave
1	705	784	740.01
2	701	762	722.085
3	697	733	709.47
4	697	715	702.105
5	697	706	698.56
6	697	704	697.2
7	697	698	697.005
8	697	697	697
trial...6
gene	min	max	ave
1	704	772	736.065
2	699	748	718.2
3	698	729	705.905
4	697	707	699.63
5	697	704	697.565
6	697	698	697.12
7	697	698	697.015
8	697	697	697
trial...7
gene	min	max	ave
1	703	782	738.49
2	699	751	720.27
3	697	730	707.89
4	697	723	701.02
5	697	705	698.175
6	697	704	697.13
7	697	697	697
trial...8
gene	min	max	ave
1	705	763	735.8
2	698	746	719.125
3	698	726	707.385
4	697	713	700.785
5	697	703	697.855
6	697	699	697.22
7	697	698	697.045
8	697	697	697
trial...9
gene	min	max	ave
1	706	785	738.965
2	699	756	720.345
3	698	730	707.855
4	697	716	700.51
5	697	705	697.96
6	697	700	697.24
7	697	698	697.045
8	697	697	697
trial...10
gene	min	max	ave
1	704	768	736.4
2	700	746	719.16
3	697	733	707.725
4	697	721	701.325
5	697	705	698.155
6	697	702	697.135
7	697	698	697.01
8	697	697	697
trial...11
gene	min	max	ave
1	704	787	736.87
2	699	748	718.8
3	698	726	706.495
4	697	712	700.04
5	697	704	697.665
6	697	699	697.16
7	697	698	697.01
8	697	697	697
trial...12
gene	min	max	ave
1	698	775	739.34
2	698	752	721.14
3	697	735	708.08
4	697	712	701.09
5	697	705	698.14
6	697	700	697.28
7	697	698	697.085
8	697	697	697
trial...13
gene	min	max	ave
1	709	785	738.77
2	700	745	721.415
3	698	737	708.525
4	697	716	701.16
5	697	706	698.115
6	697	700	697.295
7	697	698	697.05
8	697	697	697
trial...14
gene	min	max	ave
1	706	767	738.04
2	699	747	720.21
3	698	732	708.255
4	697	720	700.965
5	697	705	697.91
6	697	700	697.285
7	697	698	697.065
8	697	697	697
trial...15
gene	min	max	ave
1	705	777	738.98
2	699	750	719.74
3	697	730	706.94
4	697	714	700.2
5	697	701	697.705
6	697	698	697.23
7	697	698	697.075
8	697	698	697.01
9	697	697	697
trial...16
gene	min	max	ave
1	702	773	737.205
2	700	752	719.885
3	697	729	707.39
4	697	713	700.46
5	697	706	697.975
6	697	699	697.28
7	697	698	697.08
8	697	698	697.01
9	697	697	697
trial...17
gene	min	max	ave
1	702	771	736.13
2	697	750	719.86
3	697	727	707.825
4	697	718	701.02
5	697	706	697.875
6	697	700	697.18
7	697	698	697.025
8	697	697	697
trial...18
gene	min	max	ave
1	703	786	736.225
2	699	746	718.62
3	697	730	706.45
4	697	710	700.165
5	697	702	697.78
6	697	699	697.255
7	697	698	697.055
8	697	697	697
trial...19
gene	min	max	ave
1	712	774	737.725
2	698	744	720.44
3	697	726	707.97
4	697	713	700.61
5	697	703	697.61
6	697	698	697.075
7	697	698	697.01
8	697	697	697
trial...20
gene	min	max	ave
1	707	786	738.99
2	700	746	720.98
3	697	727	707.815
4	697	715	700.84
5	697	705	697.855
6	697	699	697.175
7	697	698	697.02
8	697	697	697
opt count : 0
opt average : 697
convergence generation : 8.05
