Instance : gr202.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	491	522	504.84
2	489	508	496.545
3	484	502	490.89
4	482	492	487.04
5	482	489	484.455
6	481	487	482.905
7	481	484	481.9
8	481	483	481.34
9	481	482	481.07
10	481	482	481.005
11	481	481	481
trial...2
gene	min	max	ave
1	493	518	504.465
2	486	506	496.29
3	484	498	491.005
4	483	494	487.27
5	482	488	484.82
6	481	486	483.23
7	481	484	482.165
8	481	484	481.53
9	481	482	481.185
10	481	482	481.015
11	481	481	481
trial...3
gene	min	max	ave
1	495	533	505.93
2	489	507	497.375
3	484	500	491.62
4	483	493	487.66
5	481	489	485.03
6	481	486	483.315
7	481	485	482.2
8	481	483	481.565
9	481	482	481.19
10	481	482	481.02
11	481	481	481
trial...4
gene	min	max	ave
1	493	516	504.895
2	489	508	496.785
3	485	497	491.175
4	483	493	487.145
5	481	488	484.65
6	481	486	482.92
7	481	484	481.905
8	481	483	481.305
9	481	482	481.08
10	481	482	481.005
11	481	481	481
trial...5
gene	min	max	ave
1	493	523	505.6
2	485	507	496.84
3	484	499	491.2
4	483	492	487.275
5	481	488	484.425
6	481	485	482.78
7	481	483	481.925
8	481	483	481.47
9	481	482	481.175
10	481	482	481.045
11	481	482	481.005
12	481	481	481
trial...6
gene	min	max	ave
1	493	520	504.58
2	488	506	496.38
3	485	502	490.715
4	483	493	487.025
5	482	489	484.7
6	481	486	483.075
7	481	484	482.135
8	481	483	481.56
9	481	482	481.19
10	481	482	481.025
11	481	481	481
trial...7
gene	min	max	ave
1	496	518	505.655
2	488	506	497.595
3	485	500	491.615
4	483	492	487.515
5	482	489	484.905
6	481	487	483.3
7	481	485	482.34
8	481	484	481.74
9	481	483	481.415
10	481	482	481.15
11	481	482	481.03
12	481	481	481
trial...8
gene	min	max	ave
1	489	519	505.365
2	486	508	496.76
3	484	498	491.09
4	483	493	487.41
5	481	489	484.66
6	481	487	482.99
7	481	484	481.91
8	481	483	481.34
9	481	482	481.075
10	481	481	481
trial...9
gene	min	max	ave
1	495	519	506.52
2	487	508	497.85
3	484	501	492.045
4	482	495	487.965
5	482	491	485.055
6	481	487	483.17
7	481	485	482.13
8	481	483	481.52
9	481	482	481.185
10	481	482	481.045
11	481	481	481
trial...10
gene	min	max	ave
1	493	518	505.43
2	485	507	496.735
3	485	499	491
4	481	493	487.115
5	481	492	484.535
6	481	487	482.81
7	481	484	481.75
8	481	483	481.265
9	481	482	481.06
10	481	482	481.005
11	481	481	481
trial...11
gene	min	max	ave
1	492	522	505.18
2	489	506	496.955
3	485	499	491.395
4	483	494	487.395
5	482	489	484.84
6	481	486	483.135
7	481	484	482.055
8	481	483	481.515
9	481	482	481.165
10	481	482	481.015
11	481	481	481
trial...12
gene	min	max	ave
1	492	523	505.445
2	487	506	497.015
3	486	499	491.21
4	483	495	487.435
5	481	490	484.72
6	481	486	482.985
7	481	485	482
8	481	483	481.425
9	481	482	481.145
10	481	482	481.02
11	481	481	481
trial...13
gene	min	max	ave
1	494	520	505.475
2	486	506	497.015
3	485	498	491.215
4	483	493	487.49
5	481	490	484.85
6	481	486	482.97
7	481	485	481.93
8	481	483	481.345
9	481	482	481.07
10	481	482	481.005
11	481	481	481
trial...14
gene	min	max	ave
1	491	520	505.335
2	488	508	497.03
3	484	502	491.23
4	483	495	487.36
5	481	489	484.83
6	481	487	483.175
7	481	484	482.15
8	481	483	481.55
9	481	483	481.185
10	481	482	481.015
11	481	481	481
trial...15
gene	min	max	ave
1	491	520	504.61
2	488	507	496.405
3	485	498	491.195
4	483	495	487.35
5	482	489	484.65
6	481	487	483.05
7	481	484	482.07
8	481	483	481.48
9	481	483	481.15
10	481	482	481.01
11	481	481	481
trial...16
gene	min	max	ave
1	492	521	505.49
2	487	510	497.455
3	485	502	491.79
4	484	493	487.805
5	482	489	485.155
6	481	487	483.5
7	481	485	482.34
8	481	483	481.695
9	481	482	481.325
10	481	482	481.1
11	481	482	481.005
12	481	481	481
trial...17
gene	min	max	ave
1	495	525	505.21
2	488	507	496.99
3	484	498	491.465
4	483	492	487.335
5	482	488	484.805
6	481	486	483.085
7	481	484	481.99
8	481	483	481.445
9	481	482	481.12
10	481	482	481.01
11	481	481	481
trial...18
gene	min	max	ave
1	492	524	506.005
2	488	506	497.07
3	484	498	491.345
4	483	492	487.385
5	482	489	484.78
6	481	486	483.105
7	481	484	481.935
8	481	483	481.405
9	481	482	481.07
10	481	482	481.005
11	481	481	481
trial...19
gene	min	max	ave
1	490	538	505.225
2	485	507	496.915
3	484	498	491.11
4	482	494	487.125
5	481	491	484.5
6	481	486	482.925
7	481	484	481.995
8	481	483	481.47
9	481	482	481.155
10	481	482	481.03
11	481	481	481
trial...20
gene	min	max	ave
1	492	528	505.93
2	487	510	497.205
3	486	500	491.28
4	483	492	487.44
5	481	489	484.745
6	481	486	483.045
7	481	484	481.98
8	481	483	481.445
9	481	482	481.135
10	481	482	481.01
11	481	481	481
opt count : 0
opt average : 481
convergence generation : 11.1
