Instance : kroA150.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	27078	29477	28010.7
2	26852	28272	27424.1
3	26647	27525	27068.5
4	26579	27263	26856
5	26524	27025	26710.6
6	26524	26854	26621.1
7	26524	26728	26568
8	26524	26647	26535.9
9	26524	26579	26526.3
10	26524	26536	26524.3
11	26524	26524	26524
trial...2
gene	min	max	ave
1	26883	29135	27955.4
2	26524	28468	27370.1
3	26524	27851	27013.7
4	26524	27415	26803.5
5	26524	26896	26675.1
6	26524	26789	26596.4
7	26524	26671	26547.7
8	26524	26670	26526
9	26524	26536	26524.1
10	26524	26524	26524
trial...3
gene	min	max	ave
1	27012	29180	28002.8
2	26816	28379	27421.7
3	26558	27681	27050.4
4	26525	27321	26809.8
5	26524	27020	26666.4
6	26524	26874	26575.3
7	26524	26676	26535.3
8	26524	26580	26525.5
9	26524	26525	26524
10	26524	26524	26524
trial...4
gene	min	max	ave
1	26868	29157	27949.8
2	26819	28351	27360.8
3	26658	27641	27027.3
4	26524	27192	26820.2
5	26524	27024	26673.9
6	26524	26767	26588
7	26524	26685	26543.5
8	26524	26621	26526.4
9	26524	26536	26524.2
10	26524	26524	26524
trial...5
gene	min	max	ave
1	27022	29883	27950.2
2	26688	28324	27396.9
3	26580	27653	27056.3
4	26524	27247	26842.7
5	26524	27091	26687.7
6	26524	26958	26591.1
7	26524	26692	26542.4
8	26524	26565	26527.5
9	26524	26537	26524.4
10	26524	26525	26524.1
11	26524	26525	26524
12	26524	26524	26524
trial...6
gene	min	max	ave
1	26954	29370	27983.2
2	26691	28341	27369.9
3	26559	27673	27030.9
4	26528	27241	26793.1
5	26524	26966	26647.2
6	26524	26759	26565.9
7	26524	26670	26531.1
8	26524	26579	26524.4
9	26524	26536	26524.1
10	26524	26524	26524
trial...7
gene	min	max	ave
1	27123	29392	28053
2	26941	28330	27497.8
3	26645	27721	27114.6
4	26524	27501	26849.5
5	26524	27024	26682.4
6	26524	26860	26580.7
7	26524	26677	26537.4
8	26524	26579	26525.7
9	26524	26536	26524.1
10	26524	26524	26524
trial...8
gene	min	max	ave
1	26850	29356	27978
2	26685	28144	27401.4
3	26535	27606	27037
4	26524	27305	26789.7
5	26524	26885	26644
6	26524	26780	26564.5
7	26524	26670	26531.6
8	26524	26579	26524.8
9	26524	26524	26524
trial...9
gene	min	max	ave
1	26890	29873	27985.2
2	26681	28533	27384.9
3	26601	27829	27016.5
4	26524	27220	26791.2
5	26524	26921	26657.1
6	26524	26783	26580.2
7	26524	26671	26536.1
8	26524	26579	26524.9
9	26524	26525	26524.2
10	26524	26525	26524
11	26524	26524	26524
trial...10
gene	min	max	ave
1	26958	29006	28046.9
2	26789	28271	27465.8
3	26662	27748	27097
4	26524	27268	26854.9
5	26524	27025	26696.4
6	26524	26919	26602.5
7	26524	26733	26547.6
8	26524	26671	26527.3
9	26524	26525	26524
10	26524	26524	26524
trial...11
gene	min	max	ave
1	26702	28964	27985.8
2	26652	28256	27383.6
3	26579	27745	27003.8
4	26524	27288	26775.5
5	26524	27003	26628.4
6	26524	26748	26556.2
7	26524	26647	26528.8
8	26524	26528	26524.1
9	26524	26524	26524
trial...12
gene	min	max	ave
1	27082	29076	27971.9
2	26688	28533	27389.5
3	26645	27752	27006.6
4	26526	27176	26786.2
5	26524	27046	26662
6	26524	26763	26578.4
7	26524	26670	26538.5
8	26524	26580	26526.1
9	26524	26536	26524.1
10	26524	26525	26524
11	26524	26524	26524
trial...13
gene	min	max	ave
1	26845	29565	28020.9
2	26758	28340	27465.8
3	26661	27719	27109.1
4	26525	27332	26880.2
5	26525	27166	26736
6	26524	26790	26630.9
7	26524	26728	26566.4
8	26524	26621	26531.4
9	26524	26579	26524.5
10	26524	26524	26524
trial...14
gene	min	max	ave
1	26812	29124	27992
2	26676	28508	27403.7
3	26565	27574	27014.9
4	26525	27261	26795
5	26524	26986	26653.5
6	26524	26805	26568.5
7	26524	26674	26536.3
8	26524	26621	26526.7
9	26524	26534	26524.2
10	26524	26525	26524
11	26524	26524	26524
trial...15
gene	min	max	ave
1	27134	29149	28041.2
2	26742	28475	27454.7
