Instance : kroB200.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	30214	32884	31437.9
2	29708	31903	30735.4
3	29572	31189	30260.8
4	29489	30437	29920.3
5	29448	30247	29691.6
6	29438	29802	29535.4
7	29437	29604	29473.2
8	29437	29525	29448.2
9	29437	29509	29439.5
10	29437	29438	29437
11	29437	29437	29437
trial...2
gene	min	max	ave
1	30066	33096	31344.8
2	29865	31636	30683.3
3	29674	30884	30222.3
4	29482	30487	29904.6
5	29452	30163	29698.9
6	29438	29808	29549
7	29437	29625	29475.9
8	29437	29536	29449
9	29437	29481	29439.1
10	29437	29438	29437.1
11	29437	29438	29437
12	29437	29437	29437
trial...3
gene	min	max	ave
1	30117	32786	31402.2
2	29743	31743	30716.8
3	29585	31024	30236.8
4	29477	30520	29898.9
5	29456	30038	29677.3
6	29437	29814	29540.2
7	29437	29630	29475
8	29437	29536	29448.1
9	29437	29504	29439.3
10	29437	29448	29437.3
11	29437	29438	29437
12	29437	29437	29437
trial...4
gene	min	max	ave
1	30113	32522	31375
2	29833	31741	30724.2
3	29545	30907	30233.3
4	29472	30362	29913.7
5	29438	30260	29678.9
6	29437	30018	29527.8
7	29437	29618	29456.6
8	29437	29480	29439.6
9	29437	29452	29437.3
10	29437	29438	29437
11	29437	29437	29437
trial...5
gene	min	max	ave
1	30206	32626	31480.4
2	30047	31750	30795.1
3	29809	31068	30298.1
4	29553	30404	29960.9
5	29453	30118	29722.6
6	29445	29828	29568.9
7	29437	29676	29488.5
8	29437	29540	29455.8
9	29437	29480	29440.8
10	29437	29452	29437.1
11	29437	29437	29437
trial...6
gene	min	max	ave
1	30132	32790	31394.4
2	29885	31551	30710.9
3	29713	30895	30280.9
4	29487	30492	29952.3
5	29451	30062	29723
6	29437	29894	29568.2
7	29437	29643	29491.8
8	29437	29533	29457.2
9	29437	29525	29442.6
10	29437	29452	29437.1
11	29437	29437	29437
trial...7
gene	min	max	ave
1	30345	32622	31376.4
2	29984	31523	30722.2
3	29759	30824	30272.9
4	29569	30443	29951.1
5	29461	30145	29735.7
6	29437	29878	29578.1
7	29437	29664	29493.1
8	29437	29544	29457
9	29437	29489	29442.4
10	29437	29489	29438.5
11	29437	29447	29437.1
12	29437	29437	29437
trial...8
gene	min	max	ave
1	30371	32408	31425.1
2	29785	31440	30760.8
3	29706	30833	30288.7
4	29543	30402	29946.1
5	29448	30095	29705.9
6	29437	29812	29564.1
7	29437	29604	29491.3
8	29437	29527	29463.2
9	29437	29480	29447.5
10	29437	29479	29439.5
11	29437	29460	29437.2
12	29437	29437	29437
trial...9
gene	min	max	ave
1	30107	32693	31404
2	29812	31821	30721.4
3	29536	30982	30251
4	29450	30426	29916.8
5	29450	30051	29695
6	29438	29892	29558.3
7	29437	29657	29481.1
