Instance : kroC100.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	20875	23365	21814.4
2	20749	22023	21270
3	20749	21441	21000.6
4	20749	21171	20860.6
5	20749	21041	20790.4
6	20749	20852	20757.1
7	20749	20769	20749.2
8	20749	20749	20749
trial...2
gene	min	max	ave
1	20785	22841	21780.7
2	20753	22441	21252.3
3	20749	21657	20991.4
4	20749	21247	20845.5
5	20749	21044	20775.4
6	20749	20856	20753.4
7	20749	20856	20749.6
8	20749	20749	20749
trial...3
gene	min	max	ave
1	20769	23212	21777.9
2	20749	22409	21278.8
3	20749	21578	20980.4
4	20749	21147	20850.4
5	20749	21068	20772
6	20749	20872	20750.9
7	20749	20749	20749
trial...4
gene	min	max	ave
1	20899	23187	21713.5
2	20753	21985	21239.6
3	20749	21473	20986.7
4	20749	21190	20851.9
5	20749	21010	20780.1
6	20749	20852	20753.7
7	20749	20769	20749.2
8	20749	20749	20749
trial...5
gene	min	max	ave
1	20749	23147	21742.5
2	20749	22071	21229
3	20749	21532	20959.6
4	20749	21168	20839.8
5	20749	21010	20776.3
6	20749	20880	20753.5
7	20749	20749	20749
trial...6
gene	min	max	ave
1	20856	23204	21782.4
2	20753	22257	21271.3
3	20749	21641	20994.3
4	20749	21152	20850.7
5	20749	21010	20785.3
6	20749	20872	20757.5
7	20749	20769	20749.9
8	20749	20749	20749
trial...7
gene	min	max	ave
1	20926	22990	21783.2
2	20753	22113	21261.2
3	20749	21663	20972.6
4	20749	21240	20832.3
5	20749	21032	20772.9
6	20749	20856	20751.8
7	20749	20753	20749
8	20749	20749	20749
trial...8
gene	min	max	ave
1	20908	23422	21763
2	20790	22017	21253.8
3	20749	21484	21000.1
4	20749	21131	20866.1
5	20749	21010	20791.4
6	20749	20900	20757.2
7	20749	20769	20749.6
8	20749	20753	20749
9	20749	20749	20749
trial...9
gene	min	max	ave
1	20785	23997	21756.3
2	20749	22255	21261.7
3	20749	21548	20996.9
4	20749	21275	20854.5
5	20749	21057	20777.1
6	20749	20852	20754
7	20749	20749	20749
trial...10
gene	min	max	ave
1	20817	22969	21760.8
2	20749	22100	21239.6
3	20749	21510	20966
4	20749	21171	20820.2
5	20749	20985	20766.1
6	20749	20852	20750.9
7	20749	20749	20749
trial...11
gene	min	max	ave
1	20857	23137	21745.7
2	20753	22034	21231.1
3	20749	21491	20981.6
4	20749	21215	20843.1
5	20749	20965	20775.2
6	20749	20852	20752.1
7	20749	20753	20749
8	20749	20749	20749
trial...12
gene	min	max	ave
1	20785	22934	21789.8
2	20749	22093	21282
3	20749	21420	20994.1
4	20749	21136	20846.1
5	20749	21010	20775.2
6	20749	20880	20751.8
7	20749	20753	20749.1
8	20749	20749	20749
trial...13
gene	min	max	ave
1	20890	23347	21824.1
2	20749	22322	21292.4
3	20749	21617	20975.3
4	20749	21367	20831
5	20749	20982	20766.5
6	20749	20852	20750.8
7	20749	20753	20749
8	20749	20749	20749
trial...14
gene	min	max	ave
1	20753	23370	21800.1
2	20753	22143	21265.6
3	20749	21762	20978.2
4	20749	21347	20830.5
5	20749	20922	20769.3
6	20749	20852	20751.5
7	20749	20769	20749.2
8	20749	20749	20749
trial...15
gene	min	max	ave
1	20919	23311	21786.6
2	20749	22237	21264.9
3	20749	21456	20965.7
4	20749	21242	20834.8
5	20749	21052	20770.9
6	20749	20852	20750.7
7	20749	20753	20749
8	20749	20749	20749
trial...16
gene	min	max	ave
1	20852	23025	21807.4
2	20749	22413	21287.2
3	20749	21620	20992.3
4	20749	21292	20853.2
5	20749	20983	20782.5
6	20749	20872	20752.8
7	20749	20749	20749
trial...17
gene	min	max	ave
1	20890	22904	21707.4
2	20749	22063	21221.3
3	20749	21461	20945.3
4	20749	21284	20830
5	20749	21010	20771.3
6	20749	20856	20752.8
7	20749	20753	20749
8	20749	20749	20749
trial...18
gene	min	max	ave
1	20749	23608	21848
2	20749	22279	21287.3
3	20749	21572	20982.8
4	20749	21136	20836.1
5	20749	21010	20770.7
6	20749	20899	20752
7	20749	20769	20749.1
8	20749	20749	20749
trial...19
gene	min	max	ave
1	20769	23191	21814.6
2	20753	22227	21278.8
3	20749	21507	20995.1
4	20749	21295	20851.1
5	20749	21036	20777
6	20749	20852	20751.7
7	20749	20749	20749
trial...20
gene	min	max	ave
1	20901	22953	21782.1
2	20749	22395	21280
3	20749	21539	21022.2
4	20749	21264	20887.2
5	20749	21010	20799.1
6	20749	20880	20755
7	20749	20852	20749.7
8	20749	20753	20749
9	20749	20749	20749
opt count : 0
opt average : 20749
convergence generation : 7.8
