Instance : kroD100.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	21533	23312	22330.9
2	21428	22485	21900.6
3	21294	22120	21619.1
4	21294	21836	21438
5	21294	21621	21336.4
6	21294	21460	21298.8
7	21294	21374	21294.4
8	21294	21294	21294
trial...2
gene	min	max	ave
1	21471	23567	22364.9
2	21294	22700	21904.7
3	21294	22291	21626.1
4	21294	21860	21431.8
5	21294	21636	21328.7
6	21294	21389	21297
7	21294	21294	21294
trial...3
gene	min	max	ave
1	21513	23367	22314.1
2	21294	22591	21870.6
3	21294	22207	21609.4
4	21294	21750	21438.5
5	21294	21621	21338.1
6	21294	21395	21300
7	21294	21294	21294
trial...4
gene	min	max	ave
1	21432	23213	22303.1
2	21294	22634	21854.7
3	21294	22121	21563.2
4	21294	21749	21398.6
5	21294	21577	21319.7
6	21294	21374	21296.3
7	21294	21294	21294
trial...5
gene	min	max	ave
1	21362	23723	22333.4
2	21294	22584	21886.9
3	21294	22127	21615.1
4	21294	21941	21446.2
5	21294	21726	21345.4
6	21294	21577	21302.3
7	21294	21294	21294
trial...6
gene	min	max	ave
1	21528	23602	22390.1
2	21321	22820	21914.5
3	21294	22180	21621.4
4	21294	21860	21443.8
5	21294	21676	21338.6
6	21294	21441	21299.2
7	21294	21309	21294.2
8	21294	21294	21294
trial...7
gene	min	max	ave
1	21541	23540	22400.4
2	21307	22639	21926.8
3	21294	22200	21626.7
4	21294	21785	21429.2
5	21294	21617	21335.9
6	21294	21389	21299.5
7	21294	21309	21294.1
8	21294	21294	21294
trial...8
gene	min	max	ave
1	21469	23666	22361.3
2	21353	22751	21888.4
3	21298	22228	21605.8
4	21294	21824	21416.7
5	21294	21564	21321
6	21294	21374	21298.6
7	21294	21309	21294.2
8	21294	21294	21294
trial...9
gene	min	max	ave
1	21581	23351	22351.3
2	21358	22596	21894.5
3	21294	22128	21610
4	21294	21791	21419.2
5	21294	21592	21326.7
6	21294	21374	21299.8
7	21294	21309	21294.5
8	21294	21294	21294
trial...10
gene	min	max	ave
1	21515	23401	22349.4
2	21435	22640	21908.9
3	21294	22192	21632.8
4	21294	21907	21447.1
5	21294	21590	21337.7
6	21294	21374	21300.6
7	21294	21338	21294.3
8	21294	21294	21294
trial...11
gene	min	max	ave
1	21468	23531	22321.3
2	21362	22502	21879.2
3	21298	22221	21596.5
4	21294	21895	21422.3
5	21294	21554	21328.1
6	21294	21378	21298.2
7	21294	21338	21294.3
8	21294	21294	21294
trial...12
gene	min	max	ave
1	21362	23563	22381.4
2	21342	22735	21898.2
3	21294	22239	21629.6
4	21294	21806	21446.9
5	21294	21629	21341.5
6	21294	21549	21301.1
7	21294	21307	21294.1
8	21294	21294	21294
trial...13
gene	min	max	ave
1	21344	23655	22376.7
2	21344	22726	21932.8
3	21294	22113	21641.6
4	21294	21924	21450.3
5	21294	21666	21340.9
6	21294	21410	21305.6
7	21294	21309	21296.6
8	21294	21309	21294.2
9	21294	21294	21294
trial...14
gene	min	max	ave
1	21536	23436	22374.9
2	21368	22712	21923.3
3	21294	22336	21632.6
4	21294	21930	21440.2
5	21294	21645	21335.6
6	21294	21374	21299.3
7	21294	21309	21294.1
8	21294	21294	21294
trial...15
gene	min	max	ave
1	21439	23307	22367.1
2	21345	22782	21906.1
3	21294	22229	21605.3
4	21294	21913	21433.2
5	21294	21592	21328.1
6	21294	21374	21297
7	21294	21309	21294.1
8	21294	21294	21294
trial...16
gene	min	max	ave
1	21548	23526	22331.6
2	21373	22536	21888.6
3	21294	22089	21603.1
4	21294	21854	21411.3
5	21294	21549	21325.2
6	21294	21404	21297.1
7	21294	21294	21294
trial...17
gene	min	max	ave
1	21565	23453	22276.4
2	21359	22445	21850.3
3	21294	22186	21599.6
4	21294	21815	21437.1
5	21294	21621	21341.4
6	21294	21389	21303.3
7	21294	21309	21294.5
8	21294	21294	21294
trial...18
gene	min	max	ave
1	21502	23340	22331.2
2	21344	22866	21861.1
3	21294	22103	21569.9
4	21294	21902	21396.3
5	21294	21496	21315.8
6	21294	21366	21296
7	21294	21294	21294
trial...19
gene	min	max	ave
1	21592	24031	22400.3
2	21294	22956	21924.3
3	21294	22187	21637.9
4	21294	21926	21447.7
5	21294	21590	21335.7
6	21294	21590	21305.6
7	21294	21374	21295.8
8	21294	21309	21294.1
9	21294	21294	21294
trial...20
gene	min	max	ave
1	21514	23785	22362.2
2	21294	22585	21893
3	21294	22119	21607
4	21294	21878	21417.7
5	21294	21589	21321.2
6	21294	21391	21297.7
7	21294	21307	21294.1
8	21294	21294	21294
opt count : 0
opt average : 21294
convergence generation : 7.8
