Instance : kroE100.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	22253	23914	23005.8
2	22073	23182	22565.6
3	22068	22729	22321.9
4	22068	22531	22195.9
5	22068	22333	22130.3
6	22068	22233	22096
7	22068	22141	22078.2
8	22068	22121	22070.1
9	22068	22073	22068
10	22068	22068	22068
trial...2
gene	min	max	ave
1	22297	24128	23052.3
2	22102	23338	22611.3
3	22073	22848	22357.3
4	22068	22509	22214.5
5	22068	22329	22136.5
6	22068	22260	22101.7
7	22068	22140	22081.8
8	22068	22111	22071.8
9	22068	22079	22068.5
10	22068	22079	22068.1
11	22068	22068	22068
trial...3
gene	min	max	ave
1	22223	24100	22984.5
2	22106	23421	22562.3
3	22068	22898	22330.1
4	22068	22497	22190.5
5	22068	22334	22126.3
6	22068	22284	22092.4
7	22068	22138	22076.5
8	22068	22106	22070.2
9	22068	22079	22068.1
10	22068	22068	22068
trial...4
gene	min	max	ave
1	22282	24087	23037.6
2	22100	23364	22600.7
3	22081	22927	22335.1
4	22068	22523	22191.8
5	22068	22314	22132.4
6	22068	22240	22105.2
7	22068	22140	22089.4
8	22068	22121	22076.5
9	22068	22100	22070.8
10	22068	22100	22068.2
11	22068	22068	22068
trial...5
gene	min	max	ave
1	22130	24242	23046.8
2	22068	23279	22606.8
3	22068	22780	22343.2
4	22068	22548	22205.4
5	22068	22262	22136.1
6	22068	22193	22102.4
7	22068	22146	22082.3
8	22068	22111	22071.9
9	22068	22100	22068.2
10	22068	22068	22068
trial...6
gene	min	max	ave
1	22179	24215	23083.8
2	22100	23138	22637.3
3	22079	22790	22380.1
4	22068	22547	22232
5	22068	22508	22152.4
6	22068	22271	22109.9
7	22068	22173	22087.1
8	22068	22121	22072.4
9	22068	22106	22068.3
10	22068	22068	22068
trial...7
gene	min	max	ave
1	22390	24019	23091.2
2	22135	23509	22615.5
3	22068	22887	22357.3
4	22068	22566	22215.7
5	22068	22370	22139.5
6	22068	22178	22107.9
