Instance : lin318.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	43578	46207	44745
2	42939	45021	43876.3
3	42592	43947	43342.2
4	42448	43595	42971.2
5	42310	43258	42703.1
6	42202	42936	42494.9
7	42110	42666	42344.7
8	42053	42514	42233.6
9	42029	42357	42159.6
10	42029	42251	42108.6
11	42029	42170	42067.7
12	42029	42128	42042.2
13	42029	42102	42032.2
14	42029	42040	42029.2
15	42029	42029	42029
trial...2
gene	min	max	ave
1	43441	46498	44798.5
2	43064	45291	43965
3	42825	44138	43423.9
4	42550	43582	43043.4
5	42369	43149	42761.8
6	42135	42857	42546.7
7	42077	42668	42363.5
8	42040	42489	42236.2
9	42040	42367	42163
10	42040	42264	42111.9
11	42029	42185	42068.8
12	42029	42121	42045.2
13	42029	42102	42038.5
14	42029	42040	42036.4
15	42029	42040	42033.9
16	42029	42040	42031.1
17	42029	42040	42029.7
18	42029	42029	42029
trial...3
gene	min	max	ave
1	43595	46798	44683.8
2	43086	44808	43875.1
3	42605	43943	43354.6
4	42299	43682	42965.7
5	42196	43194	42673.7
6	42180	42867	42458.4
7	42071	42542	42301.5
8	42029	42377	42197.2
9	42029	42323	42131.2
10	42029	42203	42081.6
11	42029	42155	42048.6
12	42029	42091	42032.4
13	42029	42040	42029.4
14	42029	42029	42029
trial...4
gene	min	max	ave
1	43266	46386	44793.3
2	43063	44895	43942.1
3	42471	44165	43386.6
4	42378	43633	43005.7
5	42262	43186	42715.9
6	42211	42982	42487.9
7	42137	42648	42326.1
8	42029	42431	42212.9
9	42029	42279	42154.3
10	42029	42227	42114.9
11	42029	42165	42085
12	42029	42137	42063.6
13	42029	42091	42045.5
14	42029	42091	42033.9
15	42029	42091	42029.3
16	42029	42029	42029
trial...5
gene	min	max	ave
1	43658	46256	44779.8
2	42966	45295	43929.2
3	42700	44187	43376.7
4	42417	43712	42966.1
5	42260	43162	42672.5
6	42190	42955	42455.5
7	42088	42547	42293.5
8	42051	42375	42191.7
9	42029	42287	42129.6
10	42029	42205	42081.9
11	42029	42157	42049
12	42029	42140	42031.9
13	42029	42040	42029.3
14	42029	42029	42029
trial...6
gene	min	max	ave
1	43323	46391	44791.5
2	42722	45137	43960
3	42659	44411	43402.5
4	42468	43594	43003.3
5	42334	43165	42700.8
6	42223	42903	42475.3
7	42143	42669	42318
8	42093	42360	42212.6
9	42029	42250	42144.3
10	42029	42175	42094.7
11	42029	42168	42061.2
12	42029	42097	42040.1
13	42029	42083	42031
14	42029	42029	42029
trial...7
gene	min	max	ave
1	43253	46653	44793.7
2	42946	45165	43961.1
3	42834	44093	43393.3
4	42476	43693	43010.8
5	42304	43173	42731.6
6	42169	42896	42486.5
7	42100	42664	42313.1
8	42066	42471	42199.8
9	42029	42252	42135
10	42029	42199	42098.3
11	42029	42159	42066.2
12	42029	42129	42044.6
13	42029	42100	42032.2
14	42029	42029	42029
trial...8
gene	min	max	ave
1	43641	46334	44695.9
2	43119	44906	43879.2
3	42803	43860	43359.8
4	42537	43681	42984.2
5	42173	43059	42700.9
6	42144	42833	42500
7	42040	42639	42341.2
8	42029	42535	42217.8
9	42029	42348	42130.7
10	42029	42224	42080.4
11	42029	42139	42051.3
12	42029	42102	42036.2
13	42029	42091	42029.6
14	42029	42029	42029
trial...9
gene	min	max	ave
1	43445	46183	44806.9
2	43037	44987	43987.5
3	42755	44046	43430.5
4	42418	43459	43023.6
5	42328	43098	42728.4
6	42189	42882	42486.9
7	42118	42593	42306.1
8	42061	42444	42185.8
9	42029	42246	42118
10	42029	42182	42074.1
11	42029	42120	42047.9
12	42029	42094	42033.6
13	42029	42049	42029.7
14	42029	42029	42029
trial...10
gene	min	max	ave
1	43590	46274	44770.9
2	43068	44841	43900.6
3	42712	44064	43354.3
4	42442	43495	42968.3
5	42316	43147	42693.5
6	42189	42783	42465
7	42131	42587	42303.2
8	42051	42492	42200.2
9	42029	42322	42131.1
10	42029	42174	42096.6
11	42029	42129	42076.2
12	42029	42098	42061.6
13	42029	42091	42047.5
14	42029	42083	42035.5
15	42029	42083	42029.3
16	42029	42029	42029
trial...11
gene	min	max	ave
1	43637	46390	44728.8
2	42969	44813	43915.4
3	42524	43969	43381
4	42464	43603	42996.2
5	42351	43173	42715.3
6	42161	42921	42470.1
7	42029	42717	42294.3
8	42029	42488	42190.9
9	42029	42298	42132.7
10	42029	42194	42092.3
11	42029	42157	42055.1
12	42029	42130	42033.4
13	42029	42040	42029.1
14	42029	42029	42029
trial...12
gene	min	max	ave
1	43629	46382	44784.7
2	43070	44774	43994.6
3	42751	44193	43459.4
4	42497	43523	43060.3
5	42270	43366	42785.3
6	42237	42925	42572.2
7	42179	42692	42398.6
8	42123	42503	42270.1
9	42091	42376	42183.3
10	42029	42243	42138
11	42029	42180	42104.5
12	42029	42143	42079.1
13	42029	42128	42062
14	42029	42091	42047
15	42029	42083	42033
16	42029	42083	42029.4
17	42029	42029	42029
trial...13
gene	min	max	ave
1	43714	46440	44823.9
2	42848	45025	43946.1
3	42534	44064	43386.1
4	42453	43534	43014.4
5	42314	43118	42715.1
6	42136	42846	42474.7
7	42051	42572	42291
8	42029	42312	42166.2
9	42029	42204	42096.3
10	42029	42154	42056.9
11	42029	42094	42033.7
12	42029	42083	42029.5
13	42029	42029	42029
trial...14
gene	min	max	ave
1	43460	46529	44753.7
2	42970	44849	43904
3	42545	44070	43372.3
4	42358	43646	42987.1
5	42260	43191	42688.3
6	42051	42897	42463.9
7	42029	42630	42297.2
8	42029	42478	42179.6
9	42029	42255	42104.4
10	42029	42156	42068.6
11	42029	42119	42045.8
12	42029	42091	42032.9
13	42029	42087	42029.6
14	42029	42029	42029
trial...15
gene	min	max	ave
1	43504	46093	44779.4
2	43114	45025	43958
3	42892	44100	43414
4	42423	43557	43015
5	42192	43187	42703.3
6	42124	42863	42463.1
7	42098	42794	42284.5
8	42029	42445	42165.1
9	42029	42248	42103.9
10	42029	42208	42073
11	42029	42111	42054.4
12	42029	42091	42040.7
13	42029	42083	42031.8
14	42029	42029	42029
trial...16
gene	min	max	ave
1	43524	46142	44793.9
2	43061	44986	43957.3
3	42679	44124	43406
4	42249	43576	43004.5
5	42166	43203	42670.1
6	42077	43018	42418.7
7	42029	42584	42233.9
8	42029	42327	42122.8
9	42029	42154	42066.6
10	42029	42137	42043.2
11	42029	42082	42032.4
12	42029	42040	42029.6
