Instance : linhp318.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	43518	46247	44775.7
2	43030	45033	43919.6
3	42641	44143	43348.6
4	42393	43473	42954
5	42190	43112	42676.9
6	42120	42784	42449.4
7	42029	42649	42292.1
8	42029	42463	42174.3
9	42029	42376	42103.3
10	42029	42186	42064.4
11	42029	42118	42044.7
12	42029	42091	42031.3
13	42029	42029	42029
trial...2
gene	min	max	ave
1	43322	45961	44681.3
2	42869	44952	43877.3
3	42755	44141	43382.8
4	42503	43547	43008.4
5	42371	43209	42728.3
6	42150	42879	42521
7	42102	42660	42352.7
8	42077	42558	42229.4
9	42029	42398	42159.8
10	42029	42262	42127.2
11	42029	42143	42102.8
12	42029	42143	42077.6
13	42029	42143	42048.7
14	42029	42102	42033.1
15	42029	42040	42029.4
16	42029	42029	42029
trial...3
gene	min	max	ave
1	43390	46210	44818.1
2	43022	45120	43980.1
3	42703	44203	43425.4
4	42357	43610	43018.8
5	42263	43193	42726.8
6	42152	42852	42491.7
7	42045	42627	42314.3
8	42029	42457	42184.2
9	42029	42284	42104.5
10	42029	42157	42059.7
11	42029	42143	42038.1
12	42029	42083	42030.4
13	42029	42040	42029.2
14	42029	42029	42029
trial...4
gene	min	max	ave
1	43373	46228	44690.2
2	42926	44777	43884.8
3	42629	44003	43343.4
4	42465	43507	42973.2
5	42344	43126	42688.8
6	42245	42894	42471
7	42062	42566	42318.8
8	42029	42456	42215.3
9	42029	42301	42143.5
10	42029	42220	42091.9
11	42029	42151	42054.7
12	42029	42131	42033.2
13	42029	42029	42029
trial...5
gene	min	max	ave
1	43646	45943	44713.5
2	43250	44758	43910.9
3	42515	44236	43387.5
4	42478	43578	43021.9
5	42218	43216	42749.9
6	42157	42905	42540.1
7	42107	42662	42365.8
8	42091	42474	42237.9
9	42029	42345	42151
10	42029	42215	42105.8
11	42029	42152	42082.5
12	42029	42133	42065.6
13	42029	42091	42050.1
14	42029	42083	42037.2
15	42029	42083	42030.1
16	42029	42029	42029
trial...6
gene	min	max	ave
1	43498	46076	44720.2
2	43085	45235	43917
3	42731	43939	43397.7
4	42533	43447	43010
5	42313	43142	42742.2
6	42155	42884	42530.4
7	42116	42642	42350.8
8	42091	42403	42230.7
9	42072	42285	42164.8
10	42040	42213	42125.9
11	42029	42170	42104.2
12	42029	42144	42086.6
13	42029	42143	42070.5
14	42029	42094	42054.8
15	42029	42091	42039.3
16	42029	42091	42030.4
17	42029	42029	42029
trial...7
gene	min	max	ave
1	43612	46042	44724.3
2	43251	44851	43938.3
3	42710	44099	43427.5
4	42283	43819	43054
5	42155	43218	42748.7
6	42108	42922	42507.9
7	42040	42714	42328.3
8	42029	42435	42202.2
9	42029	42291	42126.8
10	42029	42251	42084.1
11	42029	42143	42055.4
12	42029	42102	42038.4
13	42029	42087	42029.8
14	42029	42029	42029
trial...8
gene	min	max	ave
1	43469	46354	44780.1
2	42977	44938	43958.2
3	42906	44154	43418.3
4	42627	43567	43039.3
5	42369	43178	42763
6	42193	42875	42546.9
7	42088	42677	42381.1
8	42040	42505	42253.4
9	42029	42353	42155.3
10	42029	42248	42099
11	42029	42179	42062.2
12	42029	42119	42040.4
13	42029	42053	42034
14	42029	42040	42031.2
15	42029	42040	42029.4
16	42029	42040	42029.1
17	42029	42029	42029
trial...9
gene	min	max	ave
1	43419	46292	44682
2	42855	44934	43877.3
3	42728	44074	43349.8
4	42464	43541	42975.8
5	42343	43201	42692.7
6	42196	42847	42488.2
7	42119	42610	42330.4
8	42040	42494	42217.2
9	42029	42320	42136.4
10	42029	42216	42076.1
11	42029	42165	42042
12	42029	42091	42029.9
13	42029	42049	42029.1
14	42029	42029	42029
trial...10
gene	min	max	ave
1	43584	46250	44753.2
2	42885	45141	43909.5
3	42598	44202	43382.9
4	42466	43650	43007.9
5	42275	43192	42720.4
6	42104	42880	42498.6
7	42040	42639	42318.8
8	42029	42516	42191
9	42029	42294	42106.5
10	42029	42185	42058.5
11	42029	42126	42035.8
12	42029	42040	42029.6
13	42029	42029	42029
trial...11
gene	min	max	ave
1	43347	45896	44704.3
2	42827	44855	43874.5
3	42429	43980	43329.4
4	42397	43567	42939
5	42219	43119	42654.7
6	42134	42901	42441.6
7	42045	42611	42292.1
8	42029	42410	42185.6
9	42029	42256	42108.1
