Instance : pcb442.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	53820	57127	54986.1
2	52705	55197	53812.3
3	52161	53907	52968.7
4	51732	53024	52340.7
5	51447	52410	51913
6	51187	52116	51572.8
7	51017	51779	51307.4
8	50936	51415	51123.3
9	50835	51233	51003.1
10	50821	51107	50925.5
11	50790	50979	50884.2
12	50790	50929	50844.4
13	50785	50915	50814
14	50778	50877	50799.1
15	50778	50815	50792.5
16	50778	50808	50790
17	50778	50790	50789.1
18	50778	50790	50788.3
19	50778	50790	50786.8
20	50778	50790	50784.3
21	50778	50790	50781
22	50778	50790	50778.7
23	50778	50790	50778.1
24	50778	50778	50778
trial...2
gene	min	max	ave
1	53143	56495	54930.4
2	52693	54899	53793.2
3	52305	53764	52958.7
4	51758	52888	52350
5	51475	52465	51911.8
6	51227	51979	51568.9
7	51089	51660	51328.5
8	50943	51497	51154.7
9	50831	51338	51039.3
10	50825	51110	50959.5
11	50815	50997	50915.7
12	50812	50937	50900.2
13	50798	50919	50884.2
14	50791	50915	50859.6
15	50791	50915	50828.4
16	50791	50874	50807.9
17	50791	50824	50798.9
18	50791	50812	50793.7
19	50791	50805	50791.4
20	50791	50805	50791.1
21	50791	50791	50791
trial...3
gene	min	max	ave
1	53268	56544	54770.9
2	52622	55112	53635.3
3	52052	54201	52797
4	51434	53130	52169.8
5	51302	52137	51724.2
6	51059	51842	51416.3
7	50954	51514	51193.9
8	50907	51251	51037.8
9	50856	51114	50952.2
10	50820	50990	50914.5
11	50806	50935	50892.1
12	50791	50922	50866.3
13	50791	50913	50837.4
14	50791	50912	50811.3
15	50791	50851	50800.2
16	50791	50803	50796.1
17	50791	50803	50793.2
18	50791	50803	50791.5
19	50791	50803	50791.1
20	50791	50791	50791
trial...4
gene	min	max	ave
1	53355	56345	54846
2	52853	54651	53686
3	51880	53848	52850.9
4	51596	52946	52275.5
5	51385	52418	51820.9
6	51167	51850	51489.2
7	50956	51605	51241.1
8	50887	51455	51079.3
9	50869	51171	50977.3
10	50808	51096	50920.7
11	50792	50953	50891.5
12	50778	50934	50861.8
13	50778	50915	50829.6
14	50778	50912	50803.9
15	50778	50857	50787.9
16	50778	50808	50780.2
17	50778	50790	50778.1
18	50778	50778	50778
trial...5
gene	min	max	ave
1	53402	56157	54780
2	52418	54842	53633.9
3	51840	53772	52823.6
4	51536	53032	52217.4
5	51082	52208	51751.5
6	51012	51852	51432.1
7	50931	51571	51200.1
8	50906	51238	51055.5
9	50815	51093	50965.2
10	50815	51025	50909.5
11	50805	50963	50866.8
12	50797	50949	50828.8
13	50797	50878	50812.1
14	50785	50815	50806.9
15	50785	50815	50801.4
16	50785	50815	50794.3
17	50785	50798	50789.3
18	50785	50798	50785.8
19	50785	50785	50785
trial...6
gene	min	max	ave
1	53443	56587	54993.8
2	52778	55194	53841.5
3	52235	53873	53009.6
4	51850	53037	52400.8
5	51368	52426	51941.7
6	51199	51978	51611.6
7	51007	51661	51368.1
8	50938	51499	51172.5
9	50869	51314	51042.4
10	50793	51217	50960.6
11	50781	51053	50918.8
12	50781	50940	50896.5
13	50778	50934	50873.3
14	50778	50915	50842.8
15	50778	50911	50812.5
16	50778	50874	50791.6
17	50778	50797	50782
18	50778	50785	50779.7
19	50778	50785	50778.4
20	50778	50778	50778
trial...7
gene	min	max	ave
1	53474	56861	54884.7
2	52606	54905	53717.1
3	52180	53628	52902.1
4	51698	52858	52294.8
5	51354	52317	51857.2
6	51113	51916	51516
7	50972	51605	51264.6
8	50929	51423	51094
9	50826	51197	50975.4
10	50817	51087	50917.8
11	50808	50955	50886.7
12	50790	50915	50858.1
13	50778	50912	50827.2
14	50778	50886	50802.9
15	50778	50824	50792.3
16	50778	50810	50784.8
17	50778	50791	50780.6
18	50778	50790	50778.4
19	50778	50778	50778
trial...8
gene	min	max	ave
1	53208	56833	54953.6
2	52580	55192	53815.9
3	51918	53857	52956.1
4	51612	53090	52323.3
5	51177	52387	51866.9
6	51058	51911	51503.2
7	50974	51559	51272.6
8	50918	51324	51101.8
9	50843	51185	50995.8
10	50824	51091	50938.2
11	50795	50959	50909
12	50781	50937	50889.5
13	50778	50919	50865
14	50778	50912	50831.6
15	50778	50912	50799.3
16	50778	50866	50782.7
17	50778	50797	50778.8
18	50778	50778	50778
trial...9
gene	min	max	ave
1	53701	56635	54824.4
2	52597	54992	53704.5
3	51878	53588	52880.2
4	51597	53110	52289.5
5	51379	52503	51853.1
6	51072	52038	51517.3
7	50988	51690	51268.6
8	50937	51409	51103.3
9	50847	51280	50993.5
10	50835	51045	50932.2
11	50821	50965	50907.8
12	50815	50925	50888.1
13	50808	50915	50864.2
14	50808	50915	50836.5
15	50798	50912	50818.5
16	50798	50815	50814.1
17	50798	50815	50813.2
18	50791	50815	50811.7
19	50791	50815	50809.1
20	50791	50815	50804.4
21	50791	50815	50798.6
22	50791	50808	50793.7
23	50791	50808	50791.2
24	50791	50791	50791
trial...10
gene	min	max	ave
1	53553	56500	54928.8
2	52818	54802	53777.3
