Instance : pr144.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	58587	66099	60018.6
2	58537	61958	59033.3
3	58537	59520	58675
4	58537	58799	58576.7
5	58537	58623	58549.8
6	58537	58590	58539.7
7	58537	58590	58537.5
8	58537	58590	58537.3
9	58537	58537	58537
trial...2
gene	min	max	ave
1	58640	67533	59913.4
2	58537	61557	59006.8
3	58537	59870	58688.5
4	58537	58968	58586.6
5	58537	58763	58564.8
6	58537	58590	58548.1
7	58537	58590	58539.9
8	58537	58537	58537
trial...3
gene	min	max	ave
1	58607	66877	60334.2
2	58537	61940	59096.7
3	58537	60289	58698.4
4	58537	58901	58592.7
5	58537	58607	58568.7
6	58537	58590	58556.6
7	58537	58590	58543.1
8	58537	58590	58538.1
9	58537	58537	58537
trial...4
gene	min	max	ave
1	58623	68239	60300.6
2	58554	61647	59156.6
3	58537	59947	58728.1
4	58537	59350	58598
5	58537	58607	58565.9
6	58537	58590	58551.6
7	58537	58590	58542.3
8	58537	58590	58538.3
9	58537	58537	58537
trial...5
gene	min	max	ave
1	58607	65519	59986.8
2	58554	61765	59105.4
3	58537	59849	58699
4	58537	58986	58586.6
5	58537	58746	58565.4
6	58537	58590	58551.3
7	58537	58590	58539.4
8	58537	58590	58537.5
9	58537	58537	58537
trial...6
gene	min	max	ave
1	58640	65009	60038.2
2	58537	61703	59105.5
3	58537	59559	58702.8
4	58537	58845	58579.4
5	58537	58623	58554.2
6	58537	58590	58541.5
7	58537	58590	58537.8
8	58537	58537	58537
trial...7
gene	min	max	ave
1	58603	64128	60094.3
2	58537	61633	59083.8
3	58537	59573	58694.2
4	58537	58801	58582.9
5	58537	58763	58552.8
6	58537	58590	58541.5
7	58537	58590	58537.3
8	58537	58537	58537
trial...8
gene	min	max	ave
1	58603	64976	60221.2
2	58570	64125	59176
3	58537	59923	58718.2
4	58537	58832	58601.5
5	58537	58763	58573.9
6	58537	58590	58560.8
7	58537	58590	58546.5
8	58537	58590	58538.6
9	58537	58590	58537.3
10	58537	58537	58537
trial...9
gene	min	max	ave
1	58623	65982	60182
2	58537	61510	59064.7
3	58537	60041	58699.3
4	58537	58832	58587.3
5	58537	58623	58563.3
6	58537	58590	58551.6
7	58537	58590	58541.2
8	58537	58590	58537.3
9	58537	58537	58537
trial...10
gene	min	max	ave
1	58537	65045	60108
2	58537	62028	59090.4
3	58537	59849	58677.2
4	58537	58799	58571.3
5	58537	58590	58546.7
6	58537	58590	58538.9
7	58537	58537	58537
trial...11
gene	min	max	ave
1	58640	66761	60218.7
2	58587	63112	59162.2
3	58537	59976	58729
4	58537	59434	58610.2
5	58537	58763	58574
6	58537	58590	58560.3
7	58537	58590	58546.5
8	58537	58590	58539.9
9	58537	58537	58537
trial...12
gene	min	max	ave
1	58624	66876	60151.6
2	58537	62358	59152.8
3	58537	59681	58721.8
4	58537	58972	58612.1
5	58537	58763	58581.4
6	58537	58590	58569.9
7	58537	58590	58557.4
8	58537	58590	58543.4
9	58537	58590	58537.8
10	58537	58537	58537
trial...13
gene	min	max	ave
1	58587	66573	60260.7
2	58537	62519	59116.1
3	58537	60120	58693.2
4	58537	59150	58592.5
5	58537	58607	58564.8
6	58537	58590	58551.8
7	58537	58590	58540.4
8	58537	58537	58537
trial...14
gene	min	max	ave
1	58603	65217	60145.1
2	58537	62129	59111.3
3	58537	59973	58722.2
4	58537	59165	58598.8
5	58537	58623	58568.7
6	58537	58590	58556.3
7	58537	58590	58545.5
8	58537	58590	58538.6
9	58537	58537	58537
trial...15
gene	min	max	ave
1	58623	66332	60124.3
2	58537	62457	59111.5
3	58537	59580	58702.8
4	58537	58898	58584.7
5	58537	58590	58554.8
6	58537	58590	58542.8
7	58537	58590	58537.5
8	58537	58537	58537
trial...16
gene	min	max	ave
1	58554	65862	60078.5
2	58537	62702	59084.6
3	58537	59957	58704.4
4	58537	58938	58590.8
5	58537	58607	58560.1
6	58537	58590	58545.5
7	58537	58590	58538.1
8	58537	58537	58537
trial...17
gene	min	max	ave
1	58571	65834	60240.2
2	58537	62036	59059.1
3	58537	59784	58680.2
4	58537	59225	58580.2
5	58537	58623	58553.4
6	58537	58590	58541.9
7	58537	58590	58537.3
8	58537	58537	58537
trial...18
gene	min	max	ave
1	58554	65751	60327.2
2	58537	63450	59186.1
3	58537	61371	58703.1
4	58537	58898	58588.4
5	58537	58763	58560.8
6	58537	58590	58545.5
7	58537	58590	58538.6
8	58537	58537	58537
trial...19
gene	min	max	ave
1	58537	67990	60040.1
2	58537	62667	59064.6
3	58537	59290	58685.4
4	58537	58938	58584.8
5	58537	58623	58550.7
6	58537	58590	58539.4
7	58537	58537	58537
trial...20
gene	min	max	ave
1	58590	64603	59931.1
2	58537	61873	59006.5
3	58537	60624	58671.9
4	58537	58898	58577.7
5	58537	58590	58553.2
6	58537	58590	58542.3
7	58537	58537	58537
opt count : 0
opt average : 58537
convergence generation : 8.4
