Instance : pr439.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	110746	121069	115909
2	110130	116243	112916
3	108677	113734	110826
4	107873	112035	109327
5	107633	110418	108447
6	107432	108564	107905
7	107331	107990	107588
8	107241	107822	107391
9	107217	107511	107287
10	107217	107323	107233
11	107217	107264	107220
12	107217	107222	107217
13	107217	107222	107217
14	107217	107217	107217
trial...2
gene	min	max	ave
1	111222	121536	116074
2	109034	116817	113107
3	108542	114076	110979
4	108081	112311	109481
5	107717	110195	108568
6	107500	108935	107998
7	107328	108334	107650
8	107281	108181	107448
9	107250	107497	107336
10	107217	107389	107275
11	107217	107321	107240
12	107217	107264	107221
13	107217	107264	107217
14	107217	107217	107217
trial...3
gene	min	max	ave
1	110888	125043	116368
2	109552	118492	113400
3	108737	115325	111224
4	108163	112614	109737
5	107821	110550	108762
6	107569	109681	108148
7	107421	108194	107779
8	107278	107932	107540
9	107250	107658	107392
10	107217	107484	107296
11	107217	107374	107254
12	107217	107297	107243
13	107217	107250	107237
14	107217	107250	107229
15	107217	107250	107221
16	107217	107250	107218
17	107217	107217	107217
trial...4
gene	min	max	ave
1	110387	121187	115983
2	109809	117181	113047
3	108602	114445	111010
4	107968	111981	109471
5	107408	109846	108544
6	107326	108859	107996
7	107287	108272	107659
8	107222	107865	107444
9	107219	107549	107317
10	107217	107359	107253
11	107217	107292	107230
12	107217	107255	107221
13	107217	107250	107218
14	107217	107222	107217
15	107217	107217	107217
trial...5
gene	min	max	ave
1	110958	123204	116454
2	109723	117284	113267
3	108814	114787	110957
4	107925	111882	109379
5	107450	109555	108507
6	107395	108689	107985
7	107272	108159	107655
8	107222	107957	107430
9	107217	107557	107299
10	107217	107412	107241
11	107217	107274	107223
12	107217	107231	107218
13	107217	107222	107217
14	107217	107222	107217
15	107217	107217	107217
trial...6
gene	min	max	ave
1	111376	121676	115931
2	109385	118448	112732
3	108561	114646	110580
4	107864	111264	109180
5	107595	109421	108382
6	107470	108455	107905
7	107323	108185	107607
8	107269	107707	107417
9	107217	107497	107301
10	107217	107319	107247
11	107217	107279	107223
12	107217	107250	107218
13	107217	107217	107217
trial...7
gene	min	max	ave
1	110446	121571	116373
2	109723	117309	113330
3	108831	114251	111066
4	108186	112266	109513
5	107635	109958	108594
6	107524	108705	108104
7	107404	108167	107775
8	107325	107882	107558
9	107259	107639	107421
10	107250	107502	107331
11	107250	107429	107280
12	107250	107341	107259
13	107250	107298	107251
14	107250	107255	107250
15	107250	107250	107250
trial...8
gene	min	max	ave
1	111280	123357	116216
2	109661	118611	113299
3	108475	114941	111083
4	108196	112587	109543
5	107660	110891	108602
6	107498	108972	108006
7	107358	108284	107649
8	107266	107698	107426
9	107217	107467	107308
10	107217	107330	107253
11	107217	107298	107229
12	107217	107250	107219
13	107217	107222	107217
14	107217	107217	107217
trial...9
gene	min	max	ave
1	110846	122371	116012
2	109350	119272	113034
3	108303	114569	110848
4	108072	112180	109360
5	107788	110550	108486
6	107354	108859	107962
7	107328	108149	107623
8	107242	107783	107417
9	107217	107644	107306
10	107217	107430	107255
11	107217	107298	107239
12	107217	107255	107231
13	107217	107250	107222
14	107217	107250	107217
15	107217	107217	107217
trial...10
gene	min	max	ave
1	110795	122187	116129
2	109578	117072	113259
3	108506	114646	111207
4	107823	112726	109702
5	107686	110225	108719
6	107556	108983	108153
7	107345	108497	107755
8	107273	107930	107499
9	107217	107671	107345
10	107217	107499	107261
11	107217	107331	107226
12	107217	107250	107218
13	107217	107222	107217
14	107217	107217	107217
trial...11
gene	min	max	ave
1	110058	122262	116161
2	109336	117907	113124
3	108555	114961	110868
4	107918	111784	109390
5	107757	109909	108521
6	107473	108864	108013
7	107279	108324	107687
8	107232	107889	107468
9	107217	107578	107339
10	107217	107453	107271
11	107217	107298	107239
12	107217	107292	107225
13	107217	107250	107219
14	107217	107250	107217
