Instance : rat783.tsp
opt distance : 6773
trial : 1
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	9460	9783	9616.98
2	9331	9602	9472.99
3	9228	9454	9360.11
4	9172	9353	9269.68
5	9095	9268	9195.89
6	9070	9204	9129.33
7	9004	9130	9074.8
8	8970	9083	9027
9	8922	9046	8986.34
10	8892	9005	8952.02
11	8872	8961	8922.19
12	8855	8935	8895.36
13	8839	8902	8870.72
14	8829	8879	8852.14
15	8819	8864	8837.43
16	8813	8838	8825.55
17	8809	8830	8817.8
18	8809	8822	8812.6
19	8808	8817	8809.77
20	8807	8811	8808.42
21	8807	8809	8807.97
22	8807	8808	8807.82
23	8807	8808	8807.67
24	8807	8808	8807.43
25	8807	8808	8807.18
26	8807	8808	8807.06
27	8807	8807	8807
opt count : 0
opt average : 8807
convergence generation : 27
