Instance : rd100.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	8103	8773	8391.01
2	7996	8538	8206.75
3	7924	8344	8090.49
4	7910	8184	8012.36
5	7910	8067	7963.12
6	7910	8046	7926.81
7	7910	7966	7912.18
8	7910	7919	7910.05
9	7910	7910	7910
trial...2
gene	min	max	ave
1	8010	8784	8360.74
2	7953	8489	8176.61
3	7910	8326	8054.07
4	7910	8187	7980.87
5	7910	8067	7933.59
6	7910	7974	7913.41
7	7910	7929	7910.14
8	7910	7910	7910
trial...3
gene	min	max	ave
1	7959	8799	8364.17
2	7929	8484	8182.94
3	7910	8300	8065.15
4	7910	8219	7980.49
5	7910	8055	7931.74
6	7910	7977	7913.84
7	7910	7944	7910.21
8	7910	7910	7910
trial...4
gene	min	max	ave
1	7979	8731	8376.08
2	7936	8482	8178.19
3	7910	8290	8046.52
4	7910	8203	7975.34
5	7910	8077	7931.28
6	7910	7994	7912.38
7	7910	7919	7910.05
8	7910	7910	7910
trial...5
gene	min	max	ave
1	7948	8890	8367.68
2	7919	8521	8177.32
3	7910	8298	8057.34
4	7910	8169	7987.67
5	7910	8081	7941.69
6	7910	8040	7916.49
7	7910	7977	7910.44
8	7910	7910	7910
trial...6
gene	min	max	ave
1	7916	8982	8374.92
2	7910	8455	8173.76
3	7910	8248	8053.68
4	7910	8121	7976.68
5	7910	8076	7935.73
6	7910	8027	7913.81
7	7910	7952	7910.48
8	7910	7910	7910
trial...7
gene	min	max	ave
1	8000	8937	8365.48
2	7922	8528	8171.95
3	7910	8331	8056.82
4	7910	8148	7985.23
5	7910	8060	7939.06
6	7910	8042	7914.52
7	7910	7952	7910.21
8	7910	7910	7910
trial...8
gene	min	max	ave
1	7992	8913	8363.88
2	7929	8567	8171.11
3	7910	8281	8042.12
4	7910	8158	7968.19
5	7910	8057	7931.66
6	7910	7977	7913.97
7	7910	7958	7910.47
8	7910	7910	7910
trial...9
gene	min	max	ave
1	7983	8700	8352.8
2	7916	8466	8153.77
3	7910	8291	8031.52
4	7910	8139	7954.82
5	7910	8055	7921.06
6	7910	7958	7910.66
7	7910	7910	7910
trial...10
gene	min	max	ave
1	8006	8808	8355.72
2	7939	8496	8165.27
3	7910	8254	8054.96
4	7910	8132	7985.6
5	7910	8057	7940.07
6	7910	8042	7915.77
7	7910	7999	7910.82
8	7910	7910	7910
trial...11
gene	min	max	ave
1	7988	8842	8353.17
2	7919	8516	8164.44
3	7910	8280	8056.9
4	7910	8155	7991.85
5	7910	8060	7948.13
6	7910	8042	7920.5
7	7910	7977	7910.63
8	7910	7910	7910
trial...12
gene	min	max	ave
1	8004	8814	8356.1
2	7913	8485	8166.03
3	7910	8306	8040.26
4	7910	8184	7973.12
5	7910	8067	7931.28
6	7910	7977	7914.01
7	7910	7944	7910.38
8	7910	7910	7910
trial...13
gene	min	max	ave
1	8004	8849	8363.25
2	7910	8542	8182.67
3	7910	8304	8062.48
4	7910	8202	7986.13
5	7910	8063	7936.53
6	7910	8024	7913.14
7	7910	7918	7910.04
8	7910	7910	7910
trial...14
gene	min	max	ave
1	7955	8874	8362.25
2	7910	8506	8170.74
3	7910	8323	8048.91
4	7910	8245	7969.9
5	7910	8069	7927.65
6	7910	8002	7912.54
7	7910	7910	7910
trial...15
gene	min	max	ave
1	7978	8841	8371.67
2	7944	8487	8183.31
3	7910	8301	8061.72
4	7910	8147	7981.11
5	7910	8055	7934.66
6	7910	8042	7913.86
7	7910	7944	7910.26
8	7910	7910	7910
trial...16
gene	min	max	ave
1	8040	8871	8378.51
2	7916	8575	8174.1
3	7910	8314	8050.57
4	7910	8129	7981.97
5	7910	8071	7941.92
6	7910	8027	7917.09
7	7910	7965	7910.85
8	7910	7910	7910
trial...17
gene	min	max	ave
1	8007	8922	8368.24
2	7964	8467	8174.38
3	7910	8267	8050.09
4	7910	8127	7977.71
5	7910	8054	7933.12
6	7910	7977	7912.8
7	7910	7910	7910
trial...18
gene	min	max	ave
1	8007	8790	8373.54
2	7950	8553	8181.02
3	7910	8301	8052.48
4	7910	8149	7970.22
5	7910	8088	7924.02
6	7910	7944	7910.81
7	7910	7910	7910
trial...19
gene	min	max	ave
1	7978	8793	8382.85
2	7923	8569	8193.71
3	7910	8294	8074.33
4	7910	8178	7994.65
5	7910	8062	7945.81
6	7910	8023	7918.9
7	7910	7977	7910.76
8	7910	7910	7910
trial...20
gene	min	max	ave
1	8023	8777	8368.12
2	7921	8505	8175.93
3	7910	8288	8055.98
4	7910	8208	7981.54
5	7910	8058	7935.48
6	7910	7977	7915.47
7	7910	7944	7910.17
8	7910	7910	7910
opt count : 0
opt average : 7910
convergence generation : 7.85
