Instance : st70.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	676	743	700.205
2	675	726	687.685
3	675	692	681.245
4	675	687	677.915
5	675	682	676.01
6	675	680	675.11
7	675	675	675
trial...2
gene	min	max	ave
1	676	730	697.785
2	675	708	686.56
3	675	694	681.07
4	675	686	678.02
5	675	682	676.29
6	675	680	675.31
7	675	675	675
trial...3
gene	min	max	ave
1	678	740	701.295
2	676	715	688.495
3	675	702	682.155
4	675	688	679.115
5	675	682	677.225
6	675	680	675.925
7	675	680	675.145
8	675	675	675
trial...4
gene	min	max	ave
1	678	742	699.105
2	675	707	687.145
3	675	699	681.625
4	675	688	678.565
5	675	681	676.845
6	675	681	675.615
7	675	680	675.095
8	675	675	675
trial...5
gene	min	max	ave
1	678	726	698.075
2	676	706	686.425
3	675	694	681.185
4	675	684	678.025
5	675	682	676.15
6	675	680	675.215
7	675	677	675.01
8	675	675	675
trial...6
gene	min	max	ave
1	677	736	701.58
2	676	713	689.23
3	675	697	682.375
4	675	691	678.505
5	675	683	676.43
6	675	680	675.285
7	675	677	675.01
8	675	675	675
trial...7
gene	min	max	ave
1	677	736	700.115
2	675	712	687.155
3	675	695	681.22
4	675	686	678.655
5	675	683	676.73
6	675	681	675.43
7	675	679	675.025
8	675	675	675
trial...8
gene	min	max	ave
1	676	737	699.865
2	676	724	687.325
3	675	693	681.235
4	675	690	678.325
5	675	681	676.355
6	675	680	675.33
7	675	676	675.005
8	675	675	675
trial...9
gene	min	max	ave
1	681	731	700.64
2	675	716	689.08
3	675	701	682.45
4	675	688	679.205
5	675	682	677.225
6	675	681	675.86
7	675	680	675.105
8	675	675	675
trial...10
gene	min	max	ave
1	676	740	700.215
2	675	711	687.365
3	675	696	681.345
4	675	686	678.48
5	675	683	676.715
6	675	680	675.375
7	675	680	675.075
8	675	675	675
trial...11
gene	min	max	ave
1	678	734	700.91
2	675	720	688.595
3	675	702	682.315
4	675	688	678.88
5	675	684	676.67
6	675	680	675.31
7	675	677	675.02
8	675	675	675
trial...12
gene	min	max	ave
1	680	745	699.575
2	675	716	687.01
3	675	697	680.98
4	675	686	677.73
5	675	682	675.88
6	675	679	675.06
7	675	675	675
trial...13
gene	min	max	ave
1	675	757	702.51
2	675	720	689.05
3	675	702	682.695
4	675	693	679.24
5	675	684	677.19
6	675	680	675.66
7	675	680	675.03
8	675	675	675
trial...14
gene	min	max	ave
1	682	746	701.515
2	676	714	689.245
3	675	695	683.06
4	675	687	679.95
5	675	683	677.965
6	675	680	676.59
7	675	680	675.505
8	675	677	675.04
9	675	675	675
trial...15
gene	min	max	ave
1	678	737	701.14
2	675	713	688.205
3	675	696	681.59
4	675	685	678.345
5	675	683	676.235
6	675	680	675.23
7	675	680	675.035
8	675	675	675
trial...16
gene	min	max	ave
1	680	748	701.26
2	675	717	689.53
3	675	700	683.065
4	675	689	679.57
5	675	684	677.45
6	675	682	675.875
7	675	679	675.125
8	675	676	675.005
9	675	675	675
trial...17
gene	min	max	ave
1	677	734	699.96
2	675	708	687.81
3	675	694	681.965
4	675	686	678.755
5	675	684	676.615
6	675	681	675.365
7	675	677	675.02
8	675	675	675
trial...18
gene	min	max	ave
1	676	745	700.73
2	675	718	688.245
3	675	707	681.71
4	675	688	678.67
5	675	684	676.9
6	675	680	675.585
7	675	679	675.02
8	675	675	675
trial...19
gene	min	max	ave
1	677	741	700.28
2	675	711	688.235
3	675	696	681.985
4	675	687	678.645
5	675	684	676.7
6	675	680	675.5
7	675	677	675.06
8	675	677	675.01
9	675	675	675
trial...20
gene	min	max	ave
1	681	734	701.48
2	675	722	688.855
3	675	698	682.295
4	675	687	678.8
5	675	682	676.455
6	675	682	675.445
7	675	675	675
opt count : 0
opt average : 675
convergence generation : 7.95
