Instance : tsp225.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	4062	4320	4182.54
2	4018	4208	4101.95
3	3957	4114	4043.51
4	3930	4063	4000.36
5	3921	4021	3970.59
6	3916	3998	3946.99
7	3916	3971	3927.5
8	3916	3940	3918.41
9	3916	3922	3916.25
10	3916	3916	3916
trial...2
gene	min	max	ave
1	4060	4343	4191.76
2	4028	4209	4106.65
3	3981	4135	4048.5
4	3954	4069	4005.55
5	3932	4014	3973.07
6	3916	3983	3949.36
7	3916	3973	3930.66
8	3916	3951	3920.2
9	3916	3925	3916.61
10	3916	3923	3916.03
11	3916	3916	3916
trial...3
gene	min	max	ave
1	4056	4301	4193.52
2	3993	4188	4109.74
3	3965	4117	4047.96
4	3930	4058	4001.74
5	3926	4030	3966.22
6	3916	3991	3940.07
7	3916	3963	3924.88
8	3916	3943	3919.14
9	3916	3920	3917.77
10	3916	3919	3917.06
11	3916	3919	3916.39
12	3916	3919	3916.01
13	3916	3916	3916
trial...4
gene	min	max	ave
1	4078	4322	4198.4
2	4025	4209	4117.6
3	3992	4129	4055.72
4	3963	4083	4012.18
5	3930	4039	3980.74
6	3922	3995	3957.32
7	3916	3978	3938.26
8	3916	3962	3924.7
9	3916	3950	3918.28
10	3916	3923	3916.26
11	3916	3916	3916
trial...5
gene	min	max	ave
1	4063	4313	4193.97
2	3989	4230	4110.23
3	3959	4148	4048.78
4	3938	4083	4003.34
5	3926	4023	3971.05
6	3916	3988	3946.86
7	3916	3968	3927.57
8	3916	3948	3918.04
9	3916	3923	3916.11
10	3916	3916	3916
trial...6
gene	min	max	ave
1	4070	4338	4195.59
2	4018	4213	4111.57
3	3978	4132	4051.64
4	3934	4068	4007.4
5	3919	4024	3975.91
6	3916	4000	3951.74
7	3916	3975	3933.74
8	3916	3956	3922.16
9	3916	3939	3917.57
10	3916	3920	3916.3
11	3916	3918	3916.02
12	3916	3916	3916
trial...7
gene	min	max	ave
1	4036	4360	4187.66
2	3997	4206	4109.6
3	3976	4137	4054.99
4	3949	4097	4009.71
5	3936	4040	3976.7
6	3916	3999	3951.9
7	3916	3980	3932.41
8	3916	3952	3921.05
9	3916	3930	3917.36
10	3916	3923	3916.2
11	3916	3916	3916
trial...8
gene	min	max	ave
1	4079	4343	4196.39
2	4012	4230	4112.59
3	3937	4136	4052.82
4	3928	4084	4005.52
5	3923	4029	3971.13
6	3916	3986	3945.56
7	3916	3973	3928.42
8	3916	3941	3918.95
9	3916	3923	3916.23
10	3916	3916	3916
trial...9
gene	min	max	ave
1	4036	4313	4186.7
2	4010	4210	4107.19
3	3988	4131	4049.8
4	3949	4066	4009.2
5	3934	4019	3979.21
6	3918	3993	3954.65
7	3916	3977	3936.26
8	3916	3962	3922.41
9	3916	3938	3917
10	3916	3919	3916.09
11	3916	3918	3916.01
12	3916	3916	3916
trial...10
gene	min	max	ave
1	4048	4327	4191.69
2	4013	4217	4108.51
3	3975	4126	4048.63
4	3947	4086	4006.51
5	3925	4030	3972.01
6	3916	3989	3947.07
7	3916	3963	3929.29
8	3916	3940	3919.75
9	3916	3934	3916.74
10	3916	3919	3916.09
11	3916	3916	3916
trial...11
gene	min	max	ave
1	4030	4334	4184.93
2	3997	4178	4102.98
3	3943	4120	4045.32
4	3931	4057	4001
5	3920	4013	3967.51
6	3916	3993	3943.26
7	3916	3976	3926.07
8	3916	3937	3917.85
9	3916	3919	3916.17
10	3916	3916	3916
trial...12
gene	min	max	ave
1	4033	4339	4186.94
2	3977	4197	4102.02
3	3955	4116	4042.73
4	3939	4058	3999.22
5	3923	4015	3969.46
6	3918	3988	3948.13
7	3916	3966	3931.16
8	3916	3948	3921.05
9	3916	3930	3917.53
10	3916	3925	3916.34
11	3916	3918	3916.04
12	3916	3916	3916
trial...13
gene	min	max	ave
1	4084	4317	4188.83
2	4000	4205	4105.34
3	3975	4125	4045.55
4	3942	4068	4003.8
5	3931	4018	3971.36
6	3920	3991	3947.22
7	3916	3964	3931.41
8	3916	3948	3922.88
9	3916	3926	3919.32
10	3916	3923	3917.48
11	3916	3923	3916.31
12	3916	3920	3916.04
13	3916	3916	3916
trial...14
gene	min	max	ave
1	4075	4339	4193.6
2	4017	4239	4110.8
3	3986	4137	4053.57
4	3948	4080	4009.34
5	3926	4032	3975.41
6	3916	3987	3949.34
7	3916	3970	3930.64
8	3916	3954	3920.49
9	3916	3923	3916.34
10	3916	3920	3916.04
11	3916	3916	3916
trial...15
gene	min	max	ave
1	4051	4338	4189.23
2	4009	4197	4105.58
3	3978	4123	4046.41
4	3938	4074	4002.95
5	3930	4018	3970.21
6	3919	3991	3947.61
7	3916	3973	3930.15
8	3916	3957	3920.48
9	3916	3930	3916.82
10	3916	3920	3916.02
11	3916	3916	3916
trial...16
gene	min	max	ave
1	4080	4366	4197.92
2	4007	4219	4115.58
3	3974	4145	4055.76
4	3942	4080	4010.29
5	3922	4020	3979.41
6	3920	4003	3955.57
7	3918	3976	3937.61
8	3916	3951	3924.58
9	3916	3939	3918.99
10	3916	3932	3916.89
11	3916	3918	3916.11
12	3916	3918	3916.02
13	3916	3916	3916
trial...17
gene	min	max	ave
1	4068	4319	4184.51
2	4022	4192	4103.95
3	3976	4107	4047.3
4	3947	4056	4006.55
5	3930	4025	3978.99
6	3921	3989	3957.57
7	3916	3981	3940.59
8	3916	3958	3926.47
9	3916	3939	3918.41
10	3916	3934	3916.51
11	3916	3919	3916.05
12	3916	3916	3916
trial...18
gene	min	max	ave
1	4060	4281	4184.48
2	4012	4215	4106.02
3	3962	4109	4049.01
4	3933	4064	4006.97
5	3925	4018	3974.59
6	3919	3992	3949.32
7	3916	3973	3930.26
8	3916	3967	3920.26
9	3916	3930	3916.82
10	3916	3920	3916.11
11	3916	3918	3916.01
12	3916	3916	3916
trial...19
gene	min	max	ave
1	4041	4310	4182.55
2	3995	4218	4102.93
3	3969	4115	4042.41
4	3948	4062	4001.07
5	3928	4024	3970.88
6	3918	3985	3948.37
7	3916	3969	3929.45
8	3916	3951	3920.09
9	3916	3923	3916.77
10	3916	3923	3916.11
11	3916	3916	3916
trial...20
gene	min	max	ave
1	4087	4336	4188.31
2	4016	4210	4107.24
3	3958	4116	4050.39
4	3934	4080	4006.99
5	3928	4026	3975.85
6	3919	3998	3953.08
7	3916	3984	3935.26
8	3916	3965	3923.29
9	3916	3926	3917.78
10	3916	3923	3916.41
11	3916	3918	3916.01
12	3916	3916	3916
opt count : 0
opt average : 3916
convergence generation : 11.4
