Instance : u159.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	42620	47975	45008.2
2	42080	46364	43670.4
3	42080	44260	42762.3
4	42080	43275	42337.2
5	42080	42719	42157.6
6	42080	42396	42094.2
7	42080	42324	42081.3
8	42080	42080	42080
trial...2
gene	min	max	ave
1	42080	47774	44849.3
2	42080	45680	43471.5
3	42080	44189	42666.9
4	42080	43144	42258.5
5	42080	42407	42110.8
6	42080	42154	42080.7
7	42080	42080	42080
trial...3
gene	min	max	ave
1	42779	47509	44891.2
2	42259	46327	43585.8
3	42080	43923	42749
4	42080	43146	42355
5	42080	42678	42176.5
6	42080	42396	42105.7
7	42080	42080	42080
trial...4
gene	min	max	ave
1	42818	48200	45140.5
2	42080	46604	43821.3
3	42080	45063	42921.5
4	42080	43596	42397
5	42080	42783	42184.2
6	42080	42491	42098.4
7	42080	42091	42080.1
8	42080	42080	42080
trial...5
gene	min	max	ave
1	42312	47983	44991.1
2	42091	46430	43647.2
3	42080	44092	42769.2
4	42080	43468	42306.7
5	42080	42581	42122.9
6	42080	42416	42081.8
7	42080	42080	42080
trial...6
gene	min	max	ave
1	42571	47796	44840.7
2	42080	45491	43471.8
3	42080	44217	42640.2
4	42080	42882	42267.2
5	42080	42869	42118.3
6	42080	42340	42085.2
7	42080	42080	42080
trial...7
gene	min	max	ave
1	42599	48222	44919.9
2	42259	45738	43628.3
3	42080	44186	42795.2
4	42080	43284	42362.8
5	42080	42664	42161.2
6	42080	42367	42090.5
7	42080	42080	42080
trial...8
gene	min	max	ave
1	43012	48037	45007.1
2	42139	46254	43660.1
3	42080	44838	42814.5
4	42080	42984	42376.5
5	42080	42529	42192.2
6	42080	42479	42111.9
7	42080	42324	42083.3
8	42080	42080	42080
trial...9
gene	min	max	ave
1	42924	49328	44941.1
2	42373	45983	43627.2
3	42080	44367	42751.5
4	42080	43190	42329.5
5	42080	42483	42153
6	42080	42396	42095.3
7	42080	42168	42080.4
8	42080	42080	42080
trial...10
gene	min	max	ave
1	42593	48439	45000.9
2	42250	46060	43670.6
3	42080	44017	42839.9
4	42080	43089	42390.6
5	42080	42733	42177.7
6	42080	42396	42096.3
7	42080	42324	42081.5
8	42080	42080	42080
trial...11
gene	min	max	ave
1	42557	47693	44857.9
2	42080	45571	43593
3	42080	44263	42811.2
4	42080	43371	42391.4
5	42080	42793	42205.1
6	42080	42411	42115.4
7	42080	42324	42084.9
8	42080	42080	42080
trial...12
gene	min	max	ave
1	42595	47914	45009.1
2	42196	46898	43692.7
3	42080	44450	42857.7
4	42080	43679	42359.4
5	42080	42659	42155.9
6	42080	42315	42089
7	42080	42088	42080.1
8	42080	42080	42080
trial...13
gene	min	max	ave
1	42967	49162	44970.2
2	42123	45897	43628.3
3	42080	44312	42795.9
4	42080	43155	42322.4
5	42080	42695	42146.5
6	42080	42460	42084.6
7	42080	42080	42080
trial...14
gene	min	max	ave
1	42786	48036	44964.2
2	42080	46466	43618.2
3	42080	44317	42780.6
4	42080	42908	42328.9
5	42080	42821	42155.6
6	42080	42396	42087.9
7	42080	42080	42080
trial...15
gene	min	max	ave
1	42982	48316	45098.5
2	42254	46555	43737.7
3	42080	44374	42888.8
4	42080	43327	42434.7
5	42080	42729	42213.7
6	42080	42396	42120.6
7	42080	42327	42081.7
8	42080	42080	42080
trial...16
gene	min	max	ave
1	42906	47513	44901.4
2	42262	45910	43611.9
3	42080	44059	42783.1
4	42080	43170	42371.4
5	42080	42693	42174.3
6	42080	42396	42102.6
7	42080	42332	42082.7
8	42080	42080	42080
trial...17
gene	min	max	ave
1	42645	47995	44971.8
2	42257	46085	43617.8
3	42080	44028	42768
4	42080	43042	42338.4
5	42080	42600	42160.8
6	42080	42349	42088.6
7	42080	42091	42080.1
8	42080	42080	42080
trial...18
gene	min	max	ave
1	42392	48459	45086.4
2	42088	46244	43740.3
3	42080	44656	42822.1
4	42080	42961	42370.6
5	42080	42633	42176.4
6	42080	42396	42100.8
7	42080	42324	42081.3
8	42080	42080	42080
trial...19
gene	min	max	ave
1	42371	47878	44969.9
2	42154	45649	43574.9
3	42080	44308	42747.4
4	42080	42990	42289.1
5	42080	42396	42127.6
6	42080	42324	42083.9
7	42080	42080	42080
trial...20
gene	min	max	ave
1	42649	48037	44893.3
2	42080	45809	43557.6
3	42080	45046	42761.9
4	42080	43124	42338.5
5	42080	42473	42143.2
6	42080	42324	42088.8
7	42080	42080	42080
opt count : 0
opt average : 42080
convergence generation : 7.55
