Instance : u724.tsp
opt distance : 6773
trial : 1
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	44369	46640	45562.1
2	44121	45587	44833.3
3	43659	44805	44248.8
4	43204	44449	43783.8
5	43004	43857	43415.7
6	42687	43439	43113.6
7	42595	43152	42861.7
8	42432	42921	42658.1
9	42305	42709	42496
10	42191	42572	42371
11	42134	42401	42269.7
12	42100	42314	42193.9
13	42024	42228	42129.6
14	42003	42173	42077.6
15	41988	42137	42036.3
16	41970	42072	42006.2
17	41944	42042	41985.3
18	41939	42011	41971.9
19	41932	41984	41963.1
20	41928	41975	41955
21	41928	41964	41948.1
22	41928	41959	41939.5
23	41928	41958	41932.5
24	41928	41947	41928.8
25	41928	41932	41928
26	41928	41928	41928
opt count : 0
opt average : 41928
convergence generation : 26
